Date,timestamp_bkk,ticker,type,close,volume,detail,fwd_+1,fwd_+2,fwd_+3,fwd_+6,fwd_+12
2025-10-07,2025-10-07 12:25,BA.BK,VOLATILITY_BREAK,14.300000190734863,2300,TR 0.1000 > 2.0×ATR(20) 0.0400,,,,,
2025-10-07,2025-10-07 12:25,BAM.BK,VOLATILITY_BREAK,7.699999809265137,4402,TR 0.0500 > 2.0×ATR(20) 0.0175,,,,,
2025-10-07,2025-10-07 12:25,BJC.BK,VOLATILITY_BREAK,20.200000762939453,28100,TR 0.1000 > 2.0×ATR(20) 0.0350,,,,,
2025-10-07,2025-10-07 12:25,BTG.BK,VOLUME_SPIKE,18.299999237060547,198300,"Vol 198,300 > 3.0×avg(20) ~ 64,560",,,,,
2025-10-07,2025-10-07 12:25,BTG.BK,PRICE_VOLUME_DIVERGENCE,18.299999237060547,198300,|ret| 0.0000% < 0.15% + volume spike,,,,,
2025-10-07,2025-10-07 12:25,CCET.BK,VOLATILITY_BREAK,6.150000095367432,882701,TR 0.1000 > 2.0×ATR(20) 0.0475,,,,,
2025-10-07,2025-10-07 12:25,CPALL.BK,VOLUME_SPIKE,48.25,276831,"Vol 276,831 > 3.0×avg(20) ~ 62,378",,,,,
2025-10-07,2025-10-07 12:25,CPALL.BK,PRICE_VOLUME_DIVERGENCE,48.25,276831,|ret| 0.0000% < 0.15% + volume spike,,,,,
2025-10-07,2025-10-07 12:25,GLOBAL.BK,VOLATILITY_BREAK,8.050000190734863,614200,TR 0.1500 > 2.0×ATR(20) 0.0425,,,,,
2025-10-07,2025-10-07 12:25,PLANB.BK,VOLATILITY_BREAK,4.420000076293945,131964,TR 0.0200 > 2.0×ATR(20) 0.0080,,,,,
2025-10-07,2025-10-07 12:25,RATCH.BK,VOLATILITY_BREAK,26.25,195902,TR 0.5000 > 2.0×ATR(20) 0.1625,,,,,
2025-10-07,2025-10-07 12:25,TASCO.BK,VOLUME_SPIKE,14.5,274700,"Vol 274,700 > 3.0×avg(20) ~ 24,368",,,,,
2025-10-07,2025-10-07 12:25,TASCO.BK,VOLATILITY_BREAK,14.5,274700,TR 0.2000 > 2.0×ATR(20) 0.0750,,,,,
2025-10-07,2025-10-07 12:25,TISCO.BK,VOLUME_SPIKE,102.5,63737,"Vol 63,737 > 3.0×avg(20) ~ 12,166",,,,,
