publishedAt,source,title,description,url,vader_compound
2025-08-16T03:04:36Z,The Sports Daily,Miami Heat Trade Haywood Highsmith to the Brooklyn Nets,"Haywood Highsmith is headed to Brooklyn. The Heat have reportedly traded the forward along with a 2032 second round pick...
The post Miami Heat Trade Haywood Highsmith to the Brooklyn Nets appeared first on The Sports Daily.",https://thesportsdaily.com/news/miami-heat-trade-haywood-highsmith-to-the-brooklyn-nets/,0.0
2025-08-16T02:30:39Z,Freerepublic.com,"America Prayer Vigil - August 16, 2025","Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",https://freerepublic.com/focus/f-religion/4334872/posts,0.5267
2025-08-16T01:00:11Z,Al Jazeera English,Indonesians raise anime pirate flag in protest as nation marks independence,A Japanese cartoon pirate flag has been raised across Indonesia as a sign of growing frustration with the government.,https://www.aljazeera.com/news/2025/8/16/indonesians-raise-anime-pirate-flag-in-protest-as-nation-marks-independence,-0.5267
2025-08-15T23:59:59Z,ABC News (AU),"After his wife died, Graeme Davidson went home to burn documents, court records allege",Court documents detail the movements of Graeme Davidson in the days after his wife Jacqueline died in 2020.,https://www.abc.net.au/news/2025-08-16/qld-court-documents-murder-charge-graeme-davidson/105661132,-0.802
2025-08-15T23:03:20Z,7NEWS.com.au,"Gen Z: Bangkok, Melbourne, New York, London the best cities in the world for 20-somethings","Nearly four in five young Melburnians described their city as diverse and inclusive, and an impressive 96 per cent praised its art and culture scene.",https://7news.com.au/news/gen-z-the-best-cities-in-the-world-to-explore-for-the-20-somethings-c-19693545,0.8934
2025-08-15T23:00:13Z,Screen Rant,Top 3 HBO Max Original Series to Stream This Weekend,"Discover the best HBO Max original series to binge-watch this weekend, featuring shows like How To With John Wilson, Winning Time, &amp; The White Lotus.",https://screenrant.com/best-shows-to-binge-on-hbo-max-this-weekend-august-15/,0.9382
2025-08-15T22:52:00Z,esquire.com,"Gavin Newsom Is Going Full Trump-Mode, but It’s Actually a Good Thing",The California governor is certainly trying something new to push back against the MAGA horde.,https://www.esquire.com/news-politics/politics/a65794624/gavin-newsom-trump-tweets/,0.7876
2025-08-15T22:40:55Z,Daily Signal,EXCLUSIVE: What Alaska’s Governor Expects From Trump-Putin Summit,"FIRST ON DAILY SIGNAL—Reports that the Trump administration might strike a deal granting Russia access to Alaskan minerals are “fake news,” Alaska Gov. Mike Dunleavy... Read More
The post EXCLUSIVE: What Alaska’s Governor Expects From Trump-Putin Summit appea…",https://www.dailysignal.com/2025/08/15/exclusive-what-alaskas-governor-expects-trump-putin-summit/,0.6447
2025-08-15T22:32:26Z,BBC News,"An artist on the run, an exhibition censored: How China tried to silence a Thai art show","The show which contained works by Tibetan, Uyghur and Hong Kong artists has since been censored.",https://www.bbc.com/news/articles/cj6yx71565jo,-0.296
2025-08-15T22:26:13Z,New York Post,"Gloucester Township’s parental accountability law: Letters to the Editor — Aug. 16, 2025","NY Post readers discuss a law in Gloucester Township, NJ, that holds parents accountable for their child’s crimes.",https://nypost.com/2025/08/15/opinion/gloucester-townships-parental-accountability-law-letters/,0.0
2025-08-15T21:38:01Z,Rlsbb.cc,Ghost House 2017 1080p AMZN WEB-DL H264-GPRS,Awards 1 nomination total See more awards » Plot: A young couple go on an adventurous vacation to Thailand only to find themselves haunted by a malevolent spirit after naively disrespecting a Ghost House. Genre: Horror | ThrillerIMDB Rating Live: IMDB Rating:…,https://post.rlsbb.cc/ghost-house-2017-1080p-amzn-web-dl-h264-gprs/,-0.2516
2025-08-15T21:35:14Z,Rlsbb.ru,Ghost House 2017 1080p AMZN WEB-DL H264-GPRS,Awards 1 nomination total See more awards » Plot: A young couple go on an adventurous vacation to Thailand only to find themselves haunted by a malevolent spirit after naively disrespecting a Ghost House. Genre: Horror | ThrillerIMDB Rating Live: IMDB Rating:…,https://post.rlsbb.ru/ghost-house-2017-1080p-amzn-web-dl-h264-gprs/,-0.2516
2025-08-15T21:00:03Z,On3.com,South Florida Recruiting Notebook: Several prospects garnering major interest,"Ahead of the official 2025 football season, several top prospects from South Florida are receiving interest from several big-time programs. 3-star 2026 ATH Tedrick Lee Three-star 2026 athlete Tedrick Lee has several offers that include Arkansas, Louisville, N…",https://www.on3.com/rivals/news/south-florida-recruiting-notebook-several-prospects-garnering-major-interest/,0.8807
2025-08-15T20:43:23Z,New York Post,Nets acquire Haywood Highsmith in trade with far-out draft implications,The Nets turned some of their cap space into a distant draft asset.,https://nypost.com/2025/08/15/sports/nets-acquire-haywood-highsmith-in-trade-with-2032-draft-implications/,0.3612
2025-08-15T20:41:39Z,The Daily Caller,Watch As Trump Shows Off America’s Military Might To Putin With Fighter Jet Flyover,President Donald Trump welcomed Russian President Vladimir Putin for an Alaska summit with a flyover of military aircraft including a B-2A Spirit bomber.,https://dailycaller.com/2025/08/15/watch-as-trump-shows-off-americas-military-might-to-putin-with-military-flyover/,0.5719
2025-08-15T20:29:55Z,Thebulkheadseat.com,Small Luxury Hotels of the World (SLH) Launches Wellbeing Collection on International Relaxation Day,"Small Luxury Hotels of the World (SLH) is celebrating International Relaxation Day with its…
The post Small Luxury Hotels of the World (SLH) Launches Wellbeing Collection on International Relaxation Day appeared first on The Bulkhead Seat.",https://thebulkheadseat.com/small-luxury-hotels-of-the-world-slh-launches-wellbeing-collection-on-international-relaxation-day/,0.9313
2025-08-15T20:00:00Z,Discover Magazine,Early Accounts of Whales and Manatees May Have Inspired Mermaid Folklore,Learn more about early marine animal witness accounts that likely fed mermaid and other sea monster legends.,https://www.discovermagazine.com/early-accounts-of-whales-and-manatees-may-have-inspired-mermaid-folklore-47925,0.4939
2025-08-15T19:42:53Z,The Times of India,Next round of India-Asean goods pact review in Oct,"India and Asean will hold the next round of AITIGA review talks in Jakarta on October 6-7, aiming to enhance the agreement's effectiveness and trade facilitation. Bilateral trade reached $123 billion in FY25, highlighting strong economic ties. India and Singa…",https://economictimes.indiatimes.com/news/economy/foreign-trade/next-round-of-india-asean-goods-pact-review-in-oct/articleshow/123326460.cms,0.5719
2025-08-15T19:34:31Z,Sporting News,Heat trade player they refused to include in Kevin Durant talks before Rockets deal,Miami has made a shocking about-face by dealing away a young asset.,https://www.sportingnews.com/us/nba/houston-rockets/news/heat-trade-player-they-refused-include-kevin-durant-talks/e09ce4c6670d2c5da3e94de3,-0.34
2025-08-15T19:07:00Z,ABC News (AU),Thailand and Cambodia's border clash turns into misinformation war,A deadly border clash between Thailand and Cambodia has devolved into a fierce online propaganda war with fake news flying on both sides.,https://www.abc.net.au/news/2025-08-16/thailand-cambodia-border-clash-misinformation-propaganda-war/105652836,-0.9349
2025-08-15T19:04:50Z,CleanTechnica,Petrostates Blow Up UN Plastics Conference,"Plastics were the topic at a UN conference in Geneva last week, but no progress was made thanks to opposition from petrostates. 
The post Petrostates Blow Up UN Plastics Conference appeared first on CleanTechnica.",https://cleantechnica.com/2025/08/15/petrostates-blow-up-un-plastics-conference/,0.6956
2025-08-15T18:40:13Z,The Times of India,"Hillary Clinton stuns, says she would back Trump for Nobel Prize if he pulls off this big move",Hillary Clinton said she might nominate Donald Trump for the Nobel Peace Prize if he can bring peace between Russia and Ukraine without letting Russia take Ukrainian land. She spoke on a podcast about the Alaska meeting with Putin. Trump has long hoped for th…,https://economictimes.indiatimes.com/news/international/us/hillary-clinton-stuns-says-she-would-back-trump-for-nobel-prize-if-he-pulls-off-this-big-move/articleshow/123325826.cms,0.946
2025-08-15T18:00:00Z,Crankyflier.com,"Cranky Weekly Review presented by Oakland San Francisco Bay Airport: Spirit Gasps for Air, Delta’s Mexican JV Does the Same","Book Now on Spirit, While Supplies Last Spirit Airlines said in its recent 10-Q that there’s “substantial doubt” it can survive the next 12 months, which is a another way to warn us for “we might not be here by next summer, so don’t buy gift cards.” The yello…",https://crankyflier.com/2025/08/15/cranky-weekly-review-presented-by-oakland-san-francisco-bay-airport-spirit-gasps-for-air-deltas-mexican-jv-does-the-same/,0.7063
2025-08-15T17:51:50Z,WWD,Pandora Revenues Climb 8 Percent in Q2,"Headed toward being a ""full jewelry brand,"" the company laid out plans to launch a new entry price point collection and add to its lab-grown diamond offerings.",http://wwd.com/accessories-news/jewelry/pandora-financial-second-quarter-2025-1238037540/,0.34
2025-08-15T17:51:50Z,WWD,Pandora Revenues Climb 8 Percent in Q2,"Headed toward being a ""full jewelry brand,"" the company laid out plans to launch a new entry price point collection and add to its lab-grown diamond...",https://wwd.com/accessories-news/jewelry/pandora-financial-second-quarter-2025-1238037540/,0.0
2025-08-15T17:15:02Z,POPSUGAR,"The ""Backpacking Effect"" Is Healing Solo Travelers, Inside and Out","My algorithm never ceases to amaze me. I'm the furthest thing from a ""backpacker."" The thought of having to squish all of my essentials into one bag (I'm a maximalist) and stay in a hostel full of strangers - shared bathrooms are a hard no for me - sounds ter…",https://www.popsugar.com/health/backpacking-effect-tiktok-49453830,-0.4678
2025-08-15T16:15:37Z,Khabarhub.com,Today’s News in a Nutshell,"KATHMANDU: Khabarhub brings you a glimpse of major developments of the day in Nepal, including politics, business/economy, sports, entertainment, and more. Nepal Oil Corporation revises fuel prices Nepal Oil Corporation (NOC) has revised the prices of petrole…",https://english.khabarhub.com/2025/15/490956/,0.4215
2025-08-15T16:00:00Z,The Star Online,Warships berth in Penang for Asean naval gathering,"GEORGE TOWN: Ten warships carrying 1,600 crew members have berthed at Swettenham Pier Cruise Terminal for a week to strengthen regional naval ties. Read full story",https://www.thestar.com.my/news/nation/2025/08/16/warships-berth-in-penang-for-asean-naval-gathering,0.0772
2025-08-15T14:59:26Z,Tom's Hardware UK,"Asus says 90% of PC and motherboard production has been offshored from China to blunt tariffs — manufacturing moved to Thailand, Vietnam, and Indonesia","""Over 90% of our production for these products has already been distributed to these new regions.""",https://www.tomshardware.com/tech-industry/asus-says-90-percent-of-pc-and-motherboard-production-has-been-offshored-from-china-to-blunt-tariffs-manufacturing-moved-to-thailand-vietnam-and-indonesia,0.0
2025-08-15T14:58:58Z,Breitbart News,Trump Embarks for Historic Meeting with Putin in Alaska,"President Donald Trump departed Washington, DC, on Friday en route to Anchorage, Alaska, to meet with Russian President Vladimir Putin about his war with Ukraine. 
The post Trump Embarks for Historic Meeting with Putin in Alaska appeared first on Breitbart.",https://www.breitbart.com/politics/2025/08/15/trump-embarks-for-historic-meeting-with-putin-in-alaska/,-0.5994
2025-08-15T14:53:42Z,BusinessLine,"India, ASEAN to hold next round of FTA review in October","ASEAN-India trade negotiations aim to address trade deficit, with India pushing for greater market access and lower tariffs.",https://www.thehindubusinessline.com/economy/india-asean-to-hold-next-round-of-fta-review-in-october/article69937707.ece,-0.34
2025-08-15T14:45:10Z,Newsweek,Gamescom Co-Organizer Says 'Maybe There's No Need' for a US Version of the Show,"Gamescom is the biggest gaming show in the world, but it doesn't look like it's coming stateside anytime soon.",https://www.newsweek.com/entertainment/video-games/gamescom-co-organizer-says-maybe-theres-no-need-us-version-show-2114119,-0.5048
2025-08-15T14:45:00Z,GlobeNewswire,Trends Shaping the $660 Million Airless Blast Equipment Market in 2025 and Key Opportunities to 2030,"The market offers growth opportunities in industrial cleaning and surface preparation across sectors like infrastructure, aerospace, and automotive. Innovations in pump technology and regional environmental standards are key drivers. The market offers growth …",https://www.globenewswire.com/news-release/2025/08/15/3134354/28124/en/Trends-Shaping-the-660-Million-Airless-Blast-Equipment-Market-in-2025-and-Key-Opportunities-to-2030.html,0.8979
2025-08-15T14:16:45Z,Brucelawson.co.uk,Facebruce apologises for our racist pedo chatbot,"Here at Facebruce, our mission has always been to connect the world and push the boundaries of what’s possible. Our latest innovation, the sAIvile™ AI companion, is a bold step towards a more interconnected future. Pushing boundaries, however, sometimes means…",https://brucelawson.co.uk/2025/facebruce-apologises-for-our-racist-pedo-chatbot/,0.25
2025-08-15T14:16:44Z,Antaranews.com,"Xsolla Expands Payments in Asia to Support FPX, K PLUS, AIS, Indosat, and MerPay","-Xsolla, a global commerce company helping developers launch, grow and monetize their games, announces today a significant expansion of its payments solution ...",https://en.antaranews.com/news/373729/xsolla-expands-payments-in-asia-to-support-fpx-k-plus-ais-indosat-and-merpay,0.8126
2025-08-15T14:07:13Z,Forbes,Three Eastern Conference Players To Watch This Upcoming Season,There is plenty of talent remaining in the Eastern Conference. Can these three players help their teams take a step forward this season?,https://www.forbes.com/sites/tomrende/2025/08/15/three-eastern-conference-players-to-watch-this-upcoming-season/,0.6705
