Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,26.372848510742188,27.5,27.75,27.25,27.5,35731700,,,
2024-01-04,26.13309669494629,27.25,27.75,27.25,27.5,28864800,,,
2024-01-05,26.372848510742188,27.5,27.75,27.0,27.5,34716000,,,
2024-01-08,26.372848510742188,27.5,27.75,26.75,27.25,33749000,,,
2024-01-09,26.372848510742188,27.5,28.0,27.25,27.75,29151700,,,
2024-01-10,26.61260223388672,27.75,28.0,27.5,27.75,46179900,,,
2024-01-11,26.61260223388672,27.75,28.25,27.75,28.0,28639900,,,
2024-01-12,26.852354049682617,28.0,28.0,27.5,27.75,21659500,,,
2024-01-15,26.61260223388672,27.75,28.0,27.25,28.0,20819500,,,
2024-01-16,26.852354049682617,28.0,28.0,27.5,27.75,17571700,,,
2024-01-17,26.13309669494629,27.25,27.75,27.0,27.75,47263800,,,
2024-01-18,25.893341064453125,27.0,27.75,26.75,27.5,45016200,,,
2024-01-19,26.13309669494629,27.25,27.25,27.0,27.25,27668900,,,
2024-01-22,26.372848510742188,27.5,27.75,27.0,27.25,22492600,,,50.0
2024-01-23,26.13309669494629,27.25,27.5,27.25,27.5,15781100,,,46.15384615384615
2024-01-24,26.61260223388672,27.75,28.25,27.25,27.5,47300800,,,57.14285714285714
2024-01-25,26.61260223388672,27.75,28.0,27.5,27.75,19839600,,,53.846153846153854
2024-01-26,26.13309669494629,27.25,28.0,27.25,27.75,22544200,,,46.666666666666664
2024-01-29,26.13309669494629,27.25,27.5,27.0,27.25,27638700,,,46.666666666666664
2024-01-30,26.13309669494629,27.25,27.5,27.0,27.0,23120100,27.5,,42.857142857142854
2024-01-31,26.372848510742188,27.5,27.5,27.0,27.25,28394100,27.5,,46.666666666666664
2024-02-01,26.372848510742188,27.5,27.75,27.0,27.25,26899700,27.5125,,42.857142857142854
2024-02-02,26.852354049682617,28.0,28.25,27.75,28.0,31734800,27.5375,,53.33333333333333
2024-02-05,27.33186149597168,28.5,28.75,28.0,28.0,84550000,27.5875,,56.25
2024-02-06,27.57161521911621,28.75,28.75,28.0,28.25,44078000,27.65,,71.42857142857143
2024-02-07,26.852354049682617,28.0,28.75,28.0,28.75,59418900,27.6625,,62.50000000000001
2024-02-08,26.852354049682617,28.0,28.5,28.0,28.0,25855000,27.675,,60.0
2024-02-09,26.61260223388672,27.75,28.25,27.5,28.0,49969700,27.6625,,53.33333333333333
2024-02-12,26.61260223388672,27.75,28.0,27.5,27.75,14176200,27.6625,,57.14285714285714
2024-02-13,27.09210968017578,28.25,28.5,28.0,28.0,22769800,27.675,,57.14285714285714
2024-02-14,26.852354049682617,28.0,28.25,27.75,28.0,23370500,27.7125,,53.33333333333333
2024-02-15,26.852354049682617,28.0,28.25,27.75,28.0,25598300,27.7625,,61.53846153846153
2024-02-16,26.61260223388672,27.75,28.0,27.25,27.75,48567600,27.7875,,57.14285714285714
2024-02-19,26.852354049682617,28.0,28.0,27.75,27.75,11211100,27.8125,,60.0
2024-02-20,26.61260223388672,27.75,28.0,27.75,28.0,19872100,27.8375,,53.33333333333333
2024-02-21,27.33186149597168,28.5,28.5,27.75,27.75,50155900,27.875,,61.11111111111111
2024-02-22,28.7703800201416,30.0,30.0,28.75,29.0,118986800,27.9875,,68.18181818181819
2024-02-23,28.290874481201172,29.5,30.0,29.25,30.0,21845200,28.1,,59.09090909090909
2024-02-27,28.051122665405273,29.25,29.5,29.0,29.5,23948500,28.2,,54.54545454545455
2024-02-28,27.81136703491211,29.0,29.25,28.75,29.0,38351100,28.2875,,60.0
2024-02-29,27.33186149597168,28.5,29.0,28.25,29.0,103677100,28.3375,,54.54545454545455
2024-03-01,26.852354049682617,28.0,28.5,28.0,28.25,88260900,28.3625,,52.17391304347826
2024-03-04,26.61260223388672,27.75,28.5,27.75,28.0,58533600,28.35,,50.0
2024-03-05,27.09210968017578,28.25,28.75,27.75,28.0,74223800,28.3375,,50.0
2024-03-06,28.403017044067383,29.25,29.75,28.5,28.75,55664500,28.3625,,59.25925925925926
2024-03-07,28.403017044067383,29.25,29.75,29.0,29.25,70026800,28.425,,59.25925925925926
2024-03-08,28.160255432128906,29.0,29.25,28.75,29.0,34691400,28.475,,59.25925925925926
2024-03-11,28.403017044067383,29.25,29.25,28.75,29.0,28275000,28.55,,59.25925925925926
2024-03-12,28.403017044067383,29.25,29.25,29.25,29.25,0,28.625,,61.53846153846153
2024-03-13,28.160255432128906,29.0,29.5,29.0,29.25,40388800,28.6625,28.065,54.166666666666664
2024-03-14,28.160255432128906,29.0,29.25,28.75,29.0,30478000,28.7125,28.095,38.888888888888886
2024-03-15,28.160255432128906,29.0,29.0,29.0,29.0,0,28.7625,28.13,43.75
2024-03-18,28.160255432128906,29.0,29.25,28.75,29.25,35083400,28.825,28.16,46.666666666666664
2024-03-19,27.917495727539062,28.75,29.0,28.75,29.0,11404300,28.8625,28.185,46.666666666666664
2024-03-20,27.917495727539062,28.75,28.75,28.75,28.75,0,28.9125,28.21,53.846153846153854
2024-03-21,27.917495727539062,28.75,29.0,28.5,28.75,32116300,28.925,28.23,63.63636363636363
2024-03-22,27.917495727539062,28.75,28.75,28.75,28.75,0,28.8625,28.25,70.0
2024-03-25,27.674734115600586,28.5,28.75,28.5,28.75,18330900,28.8125,28.26,55.55555555555556
2024-03-26,27.674734115600586,28.5,28.5,28.5,28.5,0,28.775,28.275,20.0
2024-03-27,27.674734115600586,28.5,28.75,28.0,28.25,21267000,28.75,28.285,20.0
2024-03-28,27.674734115600586,28.5,28.5,28.5,28.5,0,28.75,28.31,25.0
2024-03-29,27.674734115600586,28.5,28.5,28.25,28.25,10864200,28.775,28.34,0.0
2024-04-01,27.674734115600586,28.5,28.75,28.25,28.5,21468100,28.8125,28.365,0.0
2024-04-02,27.674734115600586,28.5,28.5,28.25,28.25,5653700,28.825,28.385,0.0
2024-04-03,27.431974411010742,28.25,28.5,28.25,28.25,22852100,28.775,28.405,0.0
2024-04-04,27.431974411010742,28.25,28.25,28.25,28.25,0,28.725,28.415,0.0
2024-04-05,27.431974411010742,28.25,28.5,28.0,28.25,26323900,28.6875,28.425,0.0
2024-04-09,27.431974411010742,28.25,28.25,28.25,28.25,0,28.6375,28.445,0.0
