Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,81.80428314208984,84.0,84.75,83.75,84.0,1809100,,,
2024-01-04,80.83042907714844,83.0,84.25,82.5,84.0,2435000,,,
2024-01-05,79.36963653564453,81.5,83.5,81.0,83.5,4366200,,,
2024-01-08,79.12616729736328,81.25,81.75,80.75,81.0,2475600,,,
2024-01-09,76.69152069091797,78.75,82.5,78.25,82.25,5146800,,,
2024-01-10,77.17845153808594,79.25,80.5,78.75,78.75,4508700,,,
2024-01-11,77.6653823852539,79.75,80.5,79.25,79.5,2294000,,,
2024-01-12,77.90884399414062,80.0,80.5,79.25,79.5,2522600,,,
2024-01-15,76.44805908203125,78.5,81.0,78.25,80.5,3889400,,,
2024-01-16,74.25686645507812,76.25,78.75,76.0,78.25,5655800,,,
2024-01-17,74.98726654052734,77.0,77.25,75.0,75.0,3288600,,,
2024-01-18,75.23072814941406,77.25,78.0,76.25,77.25,2429100,,,
2024-01-19,74.01339721679688,76.0,78.25,76.0,77.5,2152100,,,
2024-01-22,71.82221221923828,73.75,76.25,73.5,76.0,4053100,,,15.254237288135585
2024-01-23,71.57874298095703,73.5,75.5,73.25,75.25,2840200,,,15.0
2024-01-24,72.79607391357422,74.75,75.25,72.5,73.25,4289000,,,22.950819672131146
2024-01-25,72.5526123046875,74.5,75.0,73.5,74.5,2172400,,,25.0
2024-01-26,72.30914306640625,74.25,75.0,74.0,74.25,1904000,,,25.0
2024-01-29,75.23072814941406,77.25,77.75,74.5,75.0,2820200,,,44.827586206896555
2024-01-30,74.98726654052734,77.0,78.25,76.5,77.0,2656100,77.875,,42.10526315789473
2024-01-31,73.28300476074219,75.25,77.0,74.0,76.75,4926300,77.4375,,35.48387096774192
2024-02-01,73.03954315185547,75.0,75.75,74.25,74.5,2705100,77.0375,,33.87096774193549
2024-02-02,74.01339721679688,76.0,77.0,75.75,76.25,2284900,76.7625,,41.66666666666667
2024-02-05,73.52647399902344,75.5,76.25,74.75,76.0,1587000,76.475,,47.16981132075472
2024-02-06,73.28300476074219,75.25,77.25,75.25,75.75,4650700,76.3,,43.13725490196078
2024-02-07,71.33528900146484,73.25,76.0,72.75,75.5,24174500,76.0,,36.206896551724135
2024-02-08,69.63102722167969,71.5,73.5,71.5,72.25,9602200,75.5875,,35.0
2024-02-09,69.63102722167969,71.5,72.75,71.25,72.0,3195400,75.1625,,41.1764705882353
2024-02-12,68.900634765625,70.75,72.25,70.75,72.0,2670000,74.775,,39.62264150943396
2024-02-13,70.60488891601562,72.5,73.5,70.25,70.75,5200900,74.5875,,41.81818181818182
2024-02-14,70.60488891601562,72.5,72.5,71.25,71.5,2908600,74.3625,,42.59259259259259
2024-02-15,71.57874298095703,73.5,74.0,71.5,72.75,5134600,74.175,,47.368421052631575
2024-02-16,71.33528900146484,73.25,74.25,72.75,74.0,3318700,74.0375,,32.60869565217391
2024-02-19,70.60488891601562,72.5,72.75,71.25,72.0,8088000,73.975,,31.25
2024-02-20,70.11795806884766,72.0,72.75,71.75,72.5,3380600,73.9,,34.883720930232556
2024-02-21,69.87449645996094,71.75,72.25,70.75,72.0,5999300,73.75,,34.883720930232556
2024-02-22,71.0918197631836,73.0,73.25,71.25,72.0,3496300,73.675,,36.36363636363636
2024-02-23,69.87449645996094,71.75,73.25,71.75,73.25,2380700,73.55,,34.04255319148936
2024-02-27,69.63102722167969,71.5,72.5,71.25,71.75,1986500,73.2625,,34.04255319148936
2024-02-28,69.14409637451172,71.0,71.75,70.75,71.5,2053800,72.9625,,39.02439024390244
2024-02-29,68.16333770751953,69.5,71.25,69.25,70.75,3806700,72.675,,39.99999999999999
2024-03-01,67.18256378173828,68.5,70.5,68.5,69.75,3179100,72.35,,36.36363636363636
2024-03-04,61.7883415222168,63.0,69.0,62.75,68.25,12520000,71.7,,25.396825396825406
2024-03-05,62.27872848510742,63.5,64.0,61.25,63.75,13829800,71.1,,18.965517241379317
2024-03-06,63.99507141113281,65.25,65.75,63.0,63.25,6418000,70.6,,27.692307692307693
2024-03-07,62.52391815185547,63.75,65.5,63.25,65.25,3706300,70.125,,20.895522388059703
2024-03-08,64.24026489257812,65.5,66.75,64.5,65.0,6871100,69.825,,28.767123287671225
2024-03-11,64.4854507446289,65.75,66.75,65.5,65.5,2188700,69.5375,,30.985915492957744
2024-03-12,64.4854507446289,65.75,65.75,65.75,65.75,0,69.2875,,31.8840579710145
2024-03-13,64.24026489257812,65.5,66.75,64.25,66.0,4042800,68.9375,73.455,31.8840579710145
2024-03-14,63.99507141113281,65.25,66.0,65.25,65.5,2076700,68.575,73.08,26.15384615384616
2024-03-15,63.99507141113281,65.25,65.25,65.25,65.25,0,68.1625,72.725,28.33333333333333
2024-03-18,62.76911163330078,64.0,64.75,63.75,64.5,1617600,67.7,72.375,26.5625
2024-03-19,62.52391815185547,63.75,64.5,63.5,64.25,1898600,67.2625,72.025,26.984126984126974
2024-03-20,62.52391815185547,63.75,63.75,63.75,63.75,0,66.85,71.725,29.824561403508767
2024-03-21,62.76911163330078,64.0,64.75,63.75,64.0,2804500,66.4625,71.42,33.33333333333333
2024-03-22,62.76911163330078,64.0,64.0,64.0,64.0,0,66.0125,71.105,56.25
2024-03-25,61.54315185546875,62.75,63.5,62.25,63.5,2292600,65.5625,70.76,45.714285714285715
2024-03-26,62.76911163330078,64.0,64.25,62.75,63.0,2813000,65.1875,70.47,42.42424242424243
2024-03-27,62.52391815185547,63.75,65.0,63.5,63.75,4461200,64.825,70.22,50.0
2024-03-28,62.52391815185547,63.75,63.75,63.75,63.75,0,64.5375,69.955,33.33333333333333
2024-03-29,62.03353500366211,63.25,64.0,62.75,63.5,2463600,64.275,69.675,27.272727272727266
2024-04-01,61.7883415222168,63.0,64.0,63.0,63.0,2857600,64.275,69.415,26.08695652173914
2024-04-02,62.03353500366211,63.25,63.5,62.5,63.0,1822400,64.2625,69.205,30.434782608695656
2024-04-03,61.29795837402344,62.5,63.5,62.5,63.0,1901200,64.125,68.985,28.0
2024-04-04,60.31719207763672,61.5,62.75,61.25,62.75,4557000,64.0125,68.72,24.13793103448276
2024-04-05,60.562381744384766,61.75,62.5,61.25,61.5,2241200,63.825,68.465,32.0
2024-04-09,62.27872848510742,63.5,63.5,62.0,62.0,3221100,63.7125,68.25,48.38709677419355
2024-04-10,62.27872848510742,63.5,63.5,63.5,63.5,0,63.6,67.975,48.38709677419355
2024-04-11,62.52391815185547,63.75,64.25,62.5,63.5,3723200,63.5125,67.71,48.38709677419355
2024-04-17,62.52391815185547,63.75,63.75,63.75,63.75,0,63.4375,67.48,48.38709677419355
2024-04-18,62.52391815185547,63.75,63.75,63.75,63.75,0,63.3625,67.255,57.692307692307686
2024-04-19,62.52391815185547,63.75,63.75,63.75,63.75,0,63.35,67.01,47.61904761904762
2024-04-22,64.4854507446289,65.75,67.5,62.5,62.5,12927000,63.45,66.815,64.28571428571428
2024-04-23,64.24026489257812,65.5,66.5,65.0,66.25,5062100,63.5375,66.62,62.06896551724138
2024-04-24,64.24026489257812,65.5,67.0,65.25,66.25,4770800,63.6125,66.465,66.66666666666666
2024-04-25,64.4854507446289,65.75,66.0,65.0,65.25,1432100,63.7,66.35,70.37037037037038
2024-04-26,63.7498779296875,65.0,66.25,65.0,65.5,1218400,63.8125,66.22,62.06896551724138
2024-04-29,64.24026489257812,65.5,66.75,65.25,66.25,2452900,63.8875,66.115,71.42857142857143
2024-04-30,67.18256378173828,68.5,69.25,66.25,66.25,7874400,64.125,66.035,88.88888888888889
2024-05-02,67.91814422607422,69.25,70.0,68.5,68.5,4581800,64.4,65.97,89.47368421052632
2024-05-03,68.40852355957031,69.75,70.25,69.25,69.75,4029700,64.725,65.895,87.87878787878788
2024-05-07,68.40852355957031,69.75,69.75,69.75,69.75,0,65.0625,65.825,87.87878787878788
2024-05-08,65.95660400390625,67.25,68.75,66.0,68.5,6971400,65.2625,65.72,66.66666666666666
2024-05-09,64.97583770751953,66.25,68.0,66.0,67.0,4076700,65.45,65.605,60.869565217391305
2024-05-10,65.71141815185547,67.0,67.25,66.5,67.0,1376000,65.725,65.51,63.26530612244898
2024-05-13,69.87966918945312,71.25,72.0,68.0,68.75,14346900,66.2,65.475,72.72727272727272
2024-05-14,69.87966918945312,71.25,73.25,70.75,71.25,11801500,66.5875,65.465,68.9655172413793
2024-05-15,69.87966918945312,71.25,71.75,71.0,71.5,1907500,66.975,65.46,70.17543859649123
2024-05-16,69.87966918945312,71.25,71.25,71.25,71.25,0,67.35,65.465,70.17543859649123
2024-05-17,67.6729507446289,69.0,71.0,68.75,70.25,4445200,67.6125,65.455,60.0
2024-05-20,67.6729507446289,69.0,69.0,69.0,69.0,0,67.875,65.465,62.903225806451616
2024-05-21,67.18256378173828,68.5,69.25,68.25,68.75,1786700,68.1125,65.575,59.67741935483871
2024-05-23,69.63447570800781,71.0,71.5,68.25,68.75,7651900,68.375,65.725,58.33333333333333
2024-05-24,69.38928985595703,70.75,71.0,70.5,71.0,1126400,68.6375,65.835,55.17241379310345
2024-05-27,69.38928985595703,70.75,70.75,70.75,70.75,0,68.9,65.975,53.57142857142857
2024-05-28,68.89891052246094,70.25,72.0,69.5,71.25,3921200,69.125,66.07,51.72413793103448
2024-05-29,68.89891052246094,70.25,70.75,69.25,69.5,2619200,69.3875,66.16,62.5
2024-05-30,68.89891052246094,70.25,70.25,70.25,70.25,0,69.625,66.25,68.18181818181819
