publishedAt,source,title,description,url,vader_compound
2025-08-16T11:15:01Z,BusinessLine,"India's 70% goods export exposed to Trump tariffs, ICRIER suggests negotiation and trade diversification","ICRIER analysis shows 70% of India's exports to US face 50% tariffs, impacting key sectors, urging strategic response.",https://www.thehindubusinessline.com/economy/indias-70-goods-export-exposed-to-trump-tariffs-icrier-suggests-negotiation-and-trade-diversification/article69940344.ece,-0.0772
2025-08-16T11:07:26Z,Bloomberg,Charting the global economy: US retail sales point to resilience,"A heavy week of US economic data also showed underlying consumer inflation picked up last month, largely due to an acceleration in the cost of services such as airfares",https://www.bloomberg.com/news/articles/2025-08-16/world-economy-latest-healthy-us-retail-sales-signals-consumer-resilience,0.0
2025-08-16T11:00:00Z,Fortune,Nvidia and AMD’s ‘special treatment’ from Trump is shaking up an already tangled global chip supply chain,“If Nvidia and AMD are given special treatment…why shouldn't other companies be doing the same?” says one expert.,https://fortune.com/2025/08/16/us-china-chip-deal-nvidia-amd-global-chip-supply-chain/,0.25
2025-08-16T11:00:00Z,Fortune,"Trump’s unprecedented, potentially unconstitutional deal with Nvidia and AMD, explained: Alexander Hamilton would approve",Nvidia and AMD agreeing to give 15% of their China chips revenue back to the U.S. doesn't recall any deal ever struck by the U.S. government.,https://fortune.com/2025/08/16/is-trump-deal-amd-nvidia-china-chips-constitutional/,0.1027
2025-08-16T10:01:52Z,Financial Post,Skipping the U.S. and taking a vacation to East Coast this year? It will cost you.,"FREDERICTON — In September 2024, Natasha Beitman Brener and her husband decided to take a three-week vacation to Canada’s East Coast. Beitman Brener, a lawyer in Kingston, Ont., spent about six months planning the trip, looking at various options to stay in P…",https://financialpost.com/pmn/skipping-the-u-s-and-taking-a-vacation-to-east-coast-this-year-it-will-cost-you,0.0
2025-08-16T08:51:16Z,Globalsecurity.org,Carl Vinson Carrier Strike Group Returns from 9-month Deployment,"The Nimitz-class aircraft carrier USS Carl Vinson (CVN 70), the flagship of Carrier Strike Group (CSG) 1, returned to its homeport of San Diego on Aug. 14, following a nine-month deployment to the U.S. 3rd, 5th and 7th Fleet areas of operations.",https://www.globalsecurity.org/military/library/news/2025/08/mil-250815-usn02.htm,-0.1531
2025-08-16T08:43:09Z,ETF Daily News,Deutsche Bank AG Cuts Stake in California Resources Corporation (NYSE:CRC),"Deutsche Bank AG lessened its stake in California Resources Corporation (NYSE:CRC – Free Report) by 11.8% in the 1st quarter, Holdings Channel.com reports. The firm owned 212,077 shares of the oil and gas producer’s stock after selling 28,251 shares during th…",https://www.etfdailynews.com/2025/08/16/deutsche-bank-ag-cuts-stake-in-california-resources-corporation-nysecrc/,0.6705
2025-08-16T08:30:36Z,Koreaboo.com,"GOT7's Jackson Gets Hospitalized, Fan Event Canceled",The GOT7 member's agency put out a statement confirming that the idol had to be rushed to the hospital around midnight and needed more time for recovery.,https://www.koreaboo.com/news/got7-jackson-gets-hospitalized-fan-event-canceled/,0.3182
2025-08-16T08:06:00Z,The Star Online,"Asean should harmonise skills recognition to boost region’s growth, says HR Minister","KUALA LUMPUR: Asean nations should empower the Asean TVET Council to create a cross-border framework for recognising technical and vocational skills, ensuring qualifications earned in one member state are accepted across the region, says Human Resources Minis…",https://www.thestar.com.my/news/nation/2025/08/16/asean-should-harmonise-skills-recognition-to-boost-regions-growth-says-hr-minister,0.9081
2025-08-16T08:00:29Z,Forbes,"Two Thirds Of Trash Found In Global Rivers Is Plastic, Study Finds","The research used on-the-ground data from rivers in Mexico, Jamaica, Panama, Ecuador, Kenya, Vietnam, Thailand and Indonesia.",https://www.forbes.com/sites/jamiehailstone/2025/08/16/two-thirds-of-trash-found-in-global-rivers-is-plastic-study-finds/,0.0
