Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,37.835044860839844,39.5,40.5,39.25,40.25,12736400,,,
2024-01-04,37.595584869384766,39.25,39.5,38.25,38.75,10138900,,,
2024-01-05,37.835044860839844,39.5,39.5,38.75,39.0,4797000,,,
2024-01-08,37.35612106323242,39.0,39.5,38.75,39.25,3976700,,,
2024-01-09,37.595584869384766,39.25,39.5,39.0,39.5,3749900,,,
2024-01-10,37.595584869384766,39.25,39.75,38.75,39.0,4967300,,,
2024-01-11,37.116661071777344,38.75,39.25,38.25,39.0,8795500,,,
2024-01-12,36.877197265625,38.5,38.75,38.25,38.5,10409100,,,
2024-01-15,36.877197265625,38.5,39.0,38.25,38.75,2344400,,,
2024-01-16,36.63773727416992,38.25,38.75,37.75,38.5,6246400,,,
2024-01-17,36.158809661865234,37.75,38.25,37.25,38.25,11409300,,,
2024-01-18,35.67988586425781,37.25,38.0,36.75,37.75,14394800,,,
2024-01-19,33.76418685913086,35.25,37.25,35.0,37.0,37180800,,,
2024-01-22,32.806339263916016,34.25,35.25,34.0,35.0,18369700,,,8.0
2024-01-23,32.806339263916016,34.25,35.0,34.25,34.5,7972200,,,8.0
2024-01-24,33.52472686767578,35.0,35.75,34.5,34.5,15387500,,,18.51851851851852
2024-01-25,33.28526306152344,34.75,35.5,34.5,34.75,4699900,,,14.81481481481481
2024-01-26,33.28526306152344,34.75,34.75,34.0,34.75,5495600,,,16.0
2024-01-29,33.52472686767578,35.0,35.5,34.75,35.0,7350700,,,16.0
2024-01-30,32.56687545776367,34.0,34.75,33.0,34.75,22873200,37.1,,13.793103448275858
2024-01-31,31.84848976135254,33.25,34.0,33.0,34.0,16649500,36.7875,,13.333333333333329
2024-02-01,31.36956214904785,32.75,33.75,32.25,33.5,13542000,36.4625,,12.903225806451616
2024-02-02,31.609025955200195,33.0,33.25,32.75,33.25,11782200,36.1375,,15.625
2024-02-05,30.89063835144043,32.25,33.0,32.0,33.0,14408800,35.8,,14.705882352941174
2024-02-06,31.36956214904785,32.75,33.0,32.0,32.0,30501300,35.475,,20.588235294117652
