publishedAt,source,title,description,url,vader_compound
2025-08-14T05:13:54Z,The Times of India,"Vietnam makes first US oil purchase in 2025, sources say","Binh Son Refining and Petrochemical, Vietnam, will buy one million barrels of U.S. crude for November. This marks Vietnam's first U.S. oil purchase in 2025. The light-sweet crude is from Mercuria. Vietnam committed to buying more U.S. crude in deals with Wash…",https://economictimes.indiatimes.com/news/international/world-news/vietnam-makes-first-us-oil-purchase-in-2025-sources-say/articleshow/123295865.cms,-0.875
2025-08-14T04:55:15Z,Thehillstimes.in,Mizoram CM Links Drug Inflow to Golden Triangle Proximity,"HT DIGITAL AIZAWL, AUGUST 14: Mizoram Chief Minister Lalduhoma on Wednesday attributed the state’s geographical proximity to the “Golden Triangle” — an infamous drugs-producing hub of Southeast Asia — as a major factor for the consistent flow of narcotics int…",https://thehillstimes.in/northeast/mizoram-cm-links-drug-inflow-to-golden-triangle-proximity,0.0
2025-08-14T04:40:18Z,Ozbargain.com.au,Boost Mobile $300 SIM Pack with 300GB 365 Days for $244 Delivered @ Cellpoint,"Boost Mobile $300 Prepaid Sim Starter Pack with 300 GB Data for $244 - Delivered @ Cellpoint Full Coverage of the Telstra Prepaid Mobile Network Sim activation expiry date is March 19, …",https://www.ozbargain.com.au/node/919595,0.6597
2025-08-14T03:59:25Z,Paul Tan's Automotive News,"2025 Denza D9 EV MPV review in Malaysia – RM259k-309k, should the Toyota Alphard/Vellfire be worried?","Launched in Malaysia half a year ago, the Denza D9 quickly rose to become one of the country’s best-selling EV MPVs, currently second only to the BYD M6. According to the latest road transport department […]
The post 2025 Denza D9 EV MPV review in Malaysia – …",https://paultan.org/2025/08/14/2025-denza-d9-ev-mpv-review-in-malaysia-rm259k-309k-should-the-toyota-alphard-vellfire-be-worried/,0.128
2025-08-14T03:10:00Z,The Japan Times,Thailand’s Delta sees AI boom boosting sales for coming years,"The maker of components for data centers and electric vehicles is boosting investment to fuel its expansion, CEO Victor Cheng said.",https://www.japantimes.co.jp/business/2025/08/14/tech/thailand-delta-ai-boom/,0.5859
2025-08-14T03:09:00Z,The Japan Times,Chinese investors eyeing Indonesia to avoid tariffs and tap local market,"Indonesia, Southeast Asia's biggest economy and the world's fourth most populous country, has an edge over its neighbors — the potential of its vast consumer market.",https://www.japantimes.co.jp/business/2025/08/14/markets/chinese-investors-indonesia-us-tariffs/,-0.296
2025-08-14T02:44:26Z,Breitbart News,7 Nations Endorse Trump for Nobel Peace Price: 'President of Peace',"At least seven nations across the Middle East, Asia, and Africa have called for President Donald Trump to receive a Nobel Peace Prize, with the White House celebrating the endorsements as proof that he is the ""President of PEACE.""
The post 7 Nations Endorse T…",https://www.breitbart.com/politics/2025/08/13/7-nations-endorse-trump-for-nobel-peace-price-president-of-peace/,0.9559
2025-08-14T01:06:54Z,Yahoo Entertainment,"Chinese investors eyeing Indonesia to avoid US tariffs, tap local market","JAKARTA (Reuters) -Gao Xiaoyu, the founder of an industrial land consulting firm in Jakarta, has been inundated with calls from Chinese companies eager to...",https://finance.yahoo.com/news/chinese-investors-eyeing-indonesia-avoid-010654689.html,0.0772
2025-08-14T01:06:54Z,Yahoo Entertainment,"Chinese investors eyeing Indonesia to avoid US tariffs, tap local market","JAKARTA (Reuters) -Gao Xiaoyu, the founder of an industrial land consulting firm in Jakarta, has been inundated with calls from Chinese companies eager to...",https://ca.finance.yahoo.com/news/chinese-investors-eyeing-indonesia-avoid-010654159.html,0.0772
2025-08-14T00:01:38Z,Biztoc.com,Thailand’s Delta Sees AI Boom Boosting Sales for Coming Years,,https://biztoc.com/x/e3d1069d6ee1ceb8,0.34
