publishedAt,source,title,description,url,vader_compound
2025-08-13T08:33:00Z,GlobeNewswire,"Saudi Arabia $10.2 Bn Automotive Components Markets, Competition, Forecast & Opportunities, 2030F","Dublin, Aug. 13, 2025 (GLOBE NEWSWIRE) -- The ""Saudi Arabia Automotive Components Market, By Region, Competition, Forecast & Opportunities, 2020-2030F"" report has been added to ResearchAndMarkets.com's offering.The Saudi Arabia Automotive Components Market wa…",https://www.globenewswire.com/news-release/2025/08/13/3132341/28124/en/Saudi-Arabia-10-2-Bn-Automotive-Components-Markets-Competition-Forecast-Opportunities-2030F.html,0.6369
2025-08-13T08:01:33Z,Pmn.co.nz,Sāmoan women seek life-changing weight loss surgery in Turkey,Sarah Bennett and Lemau Timu’s journeys highlight the rise of medical tourism and challenges in Pacific healthcare access.,https://pmn.co.nz/read/health/samoan-women-seek-life-changing-weight-loss-surgery-in-turkey,0.1027
2025-08-13T07:49:57Z,8days.sg,Thai-Chinese Star Lingling Kwong’s Char Siew Stall Sells Out Within 30mins On Opening Day,Thai-Chinese Star Lingling Kwong’s Char Siew Stall Sells Out Within 30mins On Opening Day8days.sg,https://www.8days.sg/entertainment/asian/lingling-kwong-char-siew-stall-sells-out-30mins-opening-day-846431,-0.3818
2025-08-13T07:48:55Z,Bloomberg,India now least favoured asian stock market: BofA survey,"India has gone from fund managers’ top Asian stock market pick to their least preferred in just three months amid US President Donald Trump’s tariff escalation, according to a Bank of America Corp survey.",https://www.bloomberg.com/news/articles/2025-08-13/india-is-now-least-favored-asian-stock-market-bofa-survey-shows,-0.1361
2025-08-13T07:15:16Z,Japan Today,'Nobody else knew': Allied prisoners of war held in Taiwan,"In a small urban park in Taiwan, more than 4,000 names are etched into a granite wall -- most of them British and American servicemen held by the Japanese during World War II. The sombre memorial sits on the site of Kinkaseki, a brutal prisoner of war camp ne…",https://japantoday.com/category/national/%27nobody-else-knew%27-allied-prisoners-of-war-held-in-taiwan,-0.9738
2025-08-13T07:12:46Z,CNA,"Thai central bank cuts key rate by 25 bps, as expected","BANGKOK :Thailand's central bank lowered its key interest rate by a quarter point on Wednesday, its fourth cut in 10 months as it looks to support a sluggish economy grappling with negative inflation and the impact of U.S. tariffs.The Bank of Thailand's monet…",https://www.channelnewsasia.com/business/thai-central-bank-cuts-key-rate-25-bps-expected-5292266,-0.6705
2025-08-13T07:12:46Z,CNA,Thai central bank cuts rates to lowest in two years to support growth,"BANGKOK : Thailand's central bank lowered its policy rate by a quarter point on Wednesday, its fourth cut in 10 months, to support a sluggish economy grappling with falling prices, the impact of U.S. tariffs and a decline in foreign tourists.The monetary comm…",https://www.channelnewsasia.com/business/thai-central-bank-cuts-rates-lowest-in-two-years-support-growth-5292266,-0.4019
2025-08-13T07:12:46Z,CNA,"Thailand cuts key rate to near three-year low as growth sputters, more easing expected","BANGKOK :Thailand's central bank lowered its policy rate to a near three-year low on Wednesday to boost a slowing economy grappling with U.S. tariffs, falling prices and weak foreign tourist arrivals, with further policy easing seen later this year. As widely…",https://www.channelnewsasia.com/business/thailand-cuts-key-rate-near-three-year-low-growth-sputters-more-easing-expected-5292266,-0.1316
2025-08-13T07:07:57Z,Biztoc.com,Thailand Cuts Key Rate in Sethaput’s Last Meeting as Governor,,https://biztoc.com/x/5a6b48bb3c08c869,-0.296
2025-08-13T06:58:26Z,Moneycontrol,"India is now least favored Asian stock market, BofA survey shows","In the most recent fund manager survey, 30% said they are underweight on India, followed by 20% for Thailand and 10% for Malaysia",https://www.moneycontrol.com/news/business/markets/india-is-now-least-favored-asian-stock-market-bofa-survey-shows-13449172.html,-0.3252
2025-08-13T06:32:07Z,The Times of India,India now least favored Asian stock market: BofA survey,"India's stock market sentiment has sharply declined, shifting from being the most favored in Asia to the least preferred due to President Trump's tariff escalations. Fund managers are now underweight on Indian equities, influenced by trade tensions, weak earn…",https://economictimes.indiatimes.com/markets/stocks/news/india-now-least-favored-asian-stock-market-bofa-survey/articleshow/123273805.cms,-0.8506
2025-08-13T06:30:10Z,Livemint,"Devina Mehra: If India is the fastest-growing big economy, why invest elsewhere?","As no single market performs consistently well, one should diversify asset holdings across multiple markets. Also, there’s currency risk: one can’t count on the rupee to retain its global value over long spans of time.",https://www.livemint.com/opinion/online-views/indian-rupee-depreciation-euro-appreciation-overseas-education-long-term-financial-planning-home-country-bias-dollars-11754992660880.html,0.4019
