Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,51.050174713134766,54.5,55.5,54.25,55.5,9799800,,,
2024-01-04,49.64512634277344,53.0,54.25,52.5,54.25,11481800,,,
2024-01-05,48.240074157714844,51.5,53.5,51.25,53.25,13115100,,,
2024-01-08,48.94260025024414,52.25,52.75,51.0,51.0,4793400,,,
2024-01-09,48.240074157714844,51.5,53.25,51.5,53.25,8827300,,,
2024-01-10,48.70842361450195,52.0,52.5,51.5,52.0,5941200,,,
2024-01-11,48.474246978759766,51.75,52.5,51.75,52.25,4228700,,,
2024-01-12,48.70842361450195,52.0,52.75,51.5,51.5,5197400,,,
2024-01-15,48.00590133666992,51.25,52.0,51.25,52.0,4432800,,,
2024-01-16,46.83502197265625,50.0,51.0,49.75,51.0,8752000,,,
2024-01-17,46.366676330566406,49.5,50.5,49.25,49.5,7461500,,,
2024-01-18,44.25909423828125,47.25,49.5,47.0,49.5,15377900,,,
2024-01-19,45.42997360229492,48.5,49.75,47.75,49.0,12523900,,,
2024-01-22,44.72745132446289,47.75,49.0,47.5,49.0,4424700,,,22.448979591836732
2024-01-23,43.790748596191406,46.75,48.5,46.25,48.0,10180100,,,20.754716981132077
2024-01-24,45.19580078125,48.25,48.25,46.5,46.75,7423800,,,32.075471698113205
2024-01-25,44.25909423828125,47.25,48.0,47.0,47.75,4184400,,,33.33333333333333
2024-01-26,43.3223991394043,46.25,47.25,45.75,46.75,7703900,,,26.92307692307692
2024-01-29,42.619869232177734,45.5,46.75,45.25,46.5,8069700,,,26.92307692307692
2024-01-30,42.619869232177734,45.5,46.0,45.25,45.5,5741700,49.6125,,24.0
2024-01-31,41.683170318603516,44.5,45.5,43.75,45.5,11544300,49.1125,,22.64150943396227
2024-02-01,41.214820861816406,44.0,44.75,43.75,44.0,5180400,48.6625,,20.370370370370367
2024-02-02,41.44899368286133,44.25,45.75,44.25,44.75,9553100,48.3,,23.07692307692308
2024-02-05,42.38569641113281,45.25,45.25,43.5,44.25,12130400,47.95,,31.372549019607845
2024-02-06,43.3223991394043,46.25,46.5,44.75,44.75,6559800,47.6875,,37.73584905660377
2024-02-07,42.85404586791992,45.75,46.5,45.25,46.25,8941400,47.375,,43.47826086956522
2024-02-08,42.15152359008789,45.0,45.75,45.0,45.5,6041000,47.0375,,34.09090909090909
2024-02-09,42.38569641113281,45.25,45.5,45.0,45.25,2034300,46.7,,38.095238095238095
2024-02-12,42.619869232177734,45.5,45.5,45.0,45.25,1897700,46.4125,,43.58974358974359
2024-02-13,42.15152359008789,45.0,46.5,45.0,45.5,7458200,46.1625,,31.42857142857143
2024-02-14,37.936370849609375,40.5,42.5,40.5,42.0,31872300,45.7125,,22.448979591836732
2024-02-15,38.638893127441406,41.25,41.75,40.5,41.0,17155600,45.4125,,29.16666666666667
2024-02-16,37.23384475708008,39.75,41.5,39.75,41.5,14284800,44.975,,27.450980392156865
2024-02-19,37.70219802856445,40.25,40.75,39.75,39.75,5597300,44.6,,30.188679245283026
2024-02-20,36.53131866455078,39.0,40.25,38.75,40.25,16824700,44.2125,,29.629629629629633
2024-02-21,36.06296920776367,38.5,40.0,38.25,38.75,16602900,43.725,,29.629629629629633
2024-02-22,36.53131866455078,39.0,39.25,38.5,39.0,13265900,43.3125,,30.909090909090907
2024-02-23,35.828792572021484,38.25,39.5,38.25,39.25,11120600,42.9125,,24.074074074074076
2024-02-27,36.29714584350586,38.75,38.75,38.0,38.25,6748600,42.575,,21.15384615384616
2024-02-28,34.65791702270508,37.0,37.75,36.75,37.5,13247600,42.15,,19.298245614035082
2024-02-29,35.360443115234375,37.75,38.5,37.25,37.25,9255800,41.8125,,24.56140350877193
2024-03-01,34.65791702270508,37.0,38.0,37.0,37.75,5417500,41.4625,,22.033898305084747
2024-03-04,34.423744201660156,36.75,37.75,36.75,37.0,4757500,41.0875,,20.338983050847446
2024-03-05,34.892093658447266,37.25,37.75,36.5,37.0,5815700,40.6875,,23.728813559322035
2024-03-06,35.360443115234375,37.75,38.25,37.0,37.0,6482100,40.2625,,37.2093023255814
2024-03-07,35.360443115234375,37.75,38.0,37.5,38.0,4714700,39.8625,,32.5
2024-03-08,36.53131866455078,39.0,39.25,37.75,38.0,10606100,39.5625,,46.15384615384615
2024-03-11,36.53131866455078,39.0,39.25,38.5,38.75,6935000,39.25,,43.24324324324324
2024-03-12,36.53131866455078,39.0,39.0,39.0,39.0,0,38.925,,50.0
2024-03-13,36.53131866455078,39.0,39.75,38.75,39.0,8534600,38.625,44.31,53.33333333333333
2024-03-14,36.06296920776367,38.5,39.0,38.25,39.0,10097300,38.525,43.99,46.666666666666664
2024-03-15,35.5946159362793,38.0,38.5,37.75,38.25,5688300,38.3625,43.69,48.275862068965516
2024-03-18,36.29714584350586,38.75,39.25,38.25,38.25,5427000,38.3125,43.435,50.0
2024-03-19,36.29714584350586,38.75,39.25,38.5,38.75,3980900,38.2375,43.165,65.21739130434783
2024-03-20,36.06296920776367,38.5,39.5,38.5,39.0,5488800,38.2125,42.905,57.14285714285714
2024-03-21,37.23384475708008,39.75,40.5,39.25,39.25,14021000,38.275,42.66,73.91304347826087
2024-03-22,37.23384475708008,39.75,39.75,39.75,39.75,0,38.3125,42.42,77.27272727272727
2024-03-25,37.1861686706543,39.0,39.75,38.75,39.25,7461000,38.35,42.16,65.21739130434783
2024-03-26,37.66291809082031,39.5,39.75,38.5,39.0,8586500,38.3875,41.925,65.21739130434783
2024-03-27,38.1396598815918,40.0,40.25,39.0,39.5,10860500,38.5375,41.725,68.0
2024-03-28,38.1396598815918,40.0,40.0,40.0,40.0,0,38.65,41.535,60.0
2024-03-29,37.90128707885742,39.75,40.0,39.25,39.5,2500400,38.7875,41.385,57.14285714285714
2024-04-01,38.1396598815918,40.0,40.5,39.5,39.75,3861900,38.95,41.215,59.09090909090909
2024-04-02,38.37803649902344,40.25,40.5,39.75,40.0,3676500,39.1,41.065,60.869565217391305
2024-04-03,37.66291809082031,39.5,40.25,39.5,39.75,2530900,39.1875,40.92,58.33333333333333
2024-04-04,37.66291809082031,39.5,39.75,39.0,39.75,2675600,39.275,40.745,63.63636363636363
2024-04-05,37.66291809082031,39.5,39.75,39.0,39.25,2547700,39.3,40.59,57.89473684210526
2024-04-09,38.1396598815918,40.0,40.5,39.5,39.75,7740200,39.35,40.465,61.904761904761905
2024-04-10,39.33152770996094,41.25,41.75,40.0,40.0,10685800,39.4625,40.38,72.0
2024-04-11,38.85477828979492,40.75,41.25,40.25,41.0,5405600,39.55,40.285,59.09090909090909
2024-04-17,38.85477828979492,40.75,40.75,40.75,40.75,0,39.6625,40.21,59.09090909090909
2024-04-18,38.85477828979492,40.75,40.75,40.75,40.75,0,39.8,40.145,68.42105263157895
2024-04-19,38.85477828979492,40.75,40.75,40.75,40.75,0,39.9,40.075,64.70588235294119
2024-04-22,36.70942687988281,38.5,39.0,37.25,37.75,8107400,39.8875,39.94,37.5
2024-04-23,37.66291809082031,39.5,40.0,38.75,38.75,7502700,39.9375,39.805,46.42857142857143
2024-04-24,37.66291809082031,39.5,39.5,39.5,39.5,0,39.925,39.68,48.14814814814815
2024-04-25,37.90128707885742,39.75,40.5,39.75,39.75,4424100,39.925,39.575,48.14814814814815
2024-04-26,38.1396598815918,40.0,40.25,39.5,40.0,3253000,39.975,39.47,48.14814814814815
2024-04-29,37.90128707885742,39.75,40.25,39.5,40.25,5842900,39.9875,39.355,52.0
2024-04-30,37.42454528808594,39.25,40.25,38.5,39.75,7887100,39.95,39.24,48.14814814814815
2024-05-02,36.47105026245117,38.25,39.0,37.75,39.0,11113600,39.8625,39.195,41.935483870967744
2024-05-03,36.70942687988281,38.5,38.75,38.0,38.5,5112000,39.8,39.14,39.99999999999999
2024-05-07,36.70942687988281,38.5,38.5,38.5,38.5,0,39.725,39.115,28.0
2024-05-08,37.1861686706543,39.0,39.25,38.75,39.25,4304200,39.6625,39.09,36.0
2024-05-09,36.2326774597168,38.0,39.25,37.75,38.75,8089800,39.5875,39.07,31.034482758620683
2024-05-10,36.47105026245117,38.25,38.5,37.75,38.25,3078200,39.525,39.065,33.33333333333333
2024-05-13,36.2326774597168,38.0,38.0,37.25,38.0,4273800,39.45,39.045,32.25806451612904
2024-05-14,36.70942687988281,38.5,39.0,38.0,38.0,7522200,39.375,39.05,50.0
2024-05-15,38.61640930175781,40.5,41.75,38.5,39.75,41896700,39.3375,39.085,57.14285714285714
2024-05-16,38.61640930175781,40.5,40.5,40.5,40.5,0,39.325,39.155,57.14285714285714
2024-05-17,39.33152770996094,41.25,42.25,40.75,41.0,8166900,39.35,39.225,60.0
2024-05-20,39.33152770996094,41.25,41.25,41.25,41.25,0,39.375,39.31,58.62068965517242
2024-05-21,39.80826950073242,41.75,42.0,41.0,41.25,4901400,39.425,39.41,63.333333333333336
2024-05-23,39.33152770996094,41.25,41.5,40.0,40.75,8607800,39.5625,39.49,63.333333333333336
