Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,44.45541000366211,50.0,50.5,49.75,50.5,3303900,,,
2024-01-04,44.67768859863281,50.25,50.25,49.75,50.0,1356100,,,
2024-01-05,44.899967193603516,50.5,50.75,50.0,50.0,1679600,,,
2024-01-08,44.899967193603516,50.5,50.75,50.25,50.5,1282900,,,
2024-01-09,45.12223815917969,50.75,51.5,50.5,50.5,2549300,,,
2024-01-10,44.899967193603516,50.5,50.75,49.75,50.5,4126300,,,
2024-01-11,44.010860443115234,49.5,50.5,49.25,50.25,2195100,,,
2024-01-12,43.788578033447266,49.25,49.75,49.25,49.5,1152200,,,
2024-01-15,43.56629943847656,49.0,49.5,49.0,49.5,932900,,,
2024-01-16,43.56629943847656,49.0,49.0,48.5,49.0,1865700,,,
2024-01-17,42.899471282958984,48.25,49.0,48.0,48.75,2881700,,,
2024-01-18,43.12174987792969,48.5,48.75,48.0,48.25,971200,,,
2024-01-19,42.67719268798828,48.0,48.75,48.0,48.5,2129000,,,
2024-01-22,41.5658073425293,46.75,47.25,45.75,47.0,9368500,,,19.04761904761905
2024-01-23,41.7880859375,47.0,47.75,46.75,47.0,2350300,,,22.727272727272734
2024-01-24,43.12174987792969,48.5,48.75,46.75,47.0,3206200,,,37.037037037037045
2024-01-25,42.899471282958984,48.25,48.5,48.0,48.25,10821300,,,33.33333333333333
2024-01-26,43.56629943847656,49.0,50.0,48.5,48.5,5878100,,,39.99999999999999
2024-01-29,43.56629943847656,49.0,49.25,48.75,49.0,1735200,,,37.93103448275862
2024-01-30,43.56629943847656,49.0,49.25,49.0,49.0,1131600,49.075,,39.285714285714285
2024-01-31,43.344024658203125,48.75,49.25,48.5,49.25,2151800,49.0125,,43.99999999999999
2024-02-01,42.899471282958984,48.25,48.75,48.0,48.75,2245100,48.9125,,42.30769230769231
2024-02-02,44.010860443115234,49.5,50.5,48.5,48.5,14976100,48.8625,,53.33333333333333
2024-02-05,44.233131408691406,49.75,50.0,49.25,49.5,2528500,48.825,,54.83870967741936
2024-02-06,44.233131408691406,49.75,50.0,49.25,49.75,1521300,48.775,,60.714285714285715
2024-02-07,44.45541000366211,50.0,50.0,49.0,49.75,2113300,48.75,,60.714285714285715
2024-02-08,44.010860443115234,49.5,50.0,49.25,50.0,2015100,48.75,,60.714285714285715
2024-02-09,44.233131408691406,49.75,49.75,49.0,49.5,1613900,48.775,,75.0
2024-02-12,43.788578033447266,49.25,49.75,49.25,49.5,494400,48.7875,,68.0
2024-02-13,44.010860443115234,49.5,50.0,49.25,49.75,1947200,48.8125,,60.0
2024-02-14,44.010860443115234,49.5,49.75,49.25,49.5,909500,48.875,,63.15789473684211
2024-02-15,43.12174987792969,48.5,49.75,48.5,49.75,3032300,48.875,,45.00000000000001
2024-02-16,43.344024658203125,48.75,49.0,48.5,48.5,1088400,48.9125,,47.61904761904762
2024-02-19,43.344024658203125,48.75,49.0,48.5,48.75,310900,49.0125,,47.61904761904762
2024-02-20,43.344024658203125,48.75,49.25,48.5,49.25,874400,49.1,,50.0
2024-02-21,44.010860443115234,49.5,50.0,49.0,49.25,2295700,49.15,,61.904761904761905
2024-02-22,44.67768859863281,50.25,50.25,49.25,49.75,1242600,49.25,,57.89473684210526
2024-02-23,44.45541000366211,50.0,50.25,49.75,50.25,1955200,49.3,,52.631578947368425
2024-02-27,45.12223815917969,50.75,51.0,49.75,50.25,2869800,49.3875,,59.09090909090909
2024-02-28,45.12223815917969,50.75,51.0,50.25,50.75,1843300,49.475,,57.14285714285714
2024-02-29,45.7890739440918,51.5,52.25,50.75,50.75,5289400,49.6125,,68.18181818181819
2024-03-01,46.23362731933594,52.0,52.25,51.5,51.5,1993200,49.8,,69.56521739130434
2024-03-04,46.67818069458008,52.5,52.75,51.75,52.0,3232300,49.95,,78.26086956521739
2024-03-05,46.23362731933594,52.0,52.5,52.0,52.5,2510800,50.0625,,70.83333333333333
2024-03-06,46.90045928955078,52.75,53.25,51.75,52.0,3728000,50.2125,,74.07407407407408
2024-03-07,48.456398010253906,54.5,54.5,53.25,53.5,5508800,50.4375,,90.0
2024-03-08,48.0118408203125,54.0,54.25,53.75,54.25,2956700,50.6625,,83.87096774193549
2024-03-11,47.345008850097656,53.25,54.0,52.75,53.75,2487100,50.8375,,76.47058823529412
2024-03-12,47.345008850097656,53.25,53.25,53.25,53.25,0,51.0375,,76.47058823529412
2024-03-13,47.345008850097656,53.25,53.75,53.0,53.25,718400,51.225,50.0,74.19354838709677
2024-03-14,47.12273406982422,53.0,54.0,52.75,53.5,2069900,51.4,50.06,68.9655172413793
