publishedAt,source,title,description,url,vader_compound
2025-08-16T02:55:00Z,ABC News (AU),Little plane with big history returns home to honour pioneering pilot,A tiny plane once used to deliver medical care across the Western Australian outback has returned to Broome for the first time in decades to honour its original pilot Robin Miller.,https://www.abc.net.au/news/2025-08-16/robin-miller-sugar-bird-lady-plane-returns-to-broome/105658268,0.9169
2025-08-16T02:51:45Z,TheWrap,9 Revelations From ‘Fit for TV: The Reality of the Biggest Loser’,"Producers were allegedly excited at the idea of contestants having to ""puke"" by the end of workouts
The post 9 Revelations From ‘Fit for TV: The Reality of the Biggest Loser’ appeared first on TheWrap.",https://www.thewrap.com/biggest-loser-netflix-documentary-recap/,0.34
2025-08-16T02:30:39Z,Freerepublic.com,"America Prayer Vigil - August 16, 2025","Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",https://freerepublic.com/focus/f-religion/4334872/posts,0.5267
2025-08-16T02:15:38Z,Khabarhub.com,Economic Digest: Nepal’s Business News in a Snap,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s economic landscape reflects mixed signals, with government spending crossing Rs 1.5 trillion …",https://english.khabarhub.com/2025/16/490982/,0.6369
2025-08-16T01:45:00Z,Syllad.com,Airbus to Land in Shillong soon as CM Conrad K. Sangma announces massive Umroi Airport upgrade,"Shillong could soon welcome larger aircraft like the Airbus, with Chief Minister Conrad K. Sangma announcing a major upgrade to Umroi Airport. “Our dream of landing larger flights like Airbus in Umroi Airport, Shillong, is becoming a reality,” he said, outlin…",https://www.syllad.com/airbus-to-land-in-shillong-soon-as-cm-conrad-k-sangma-announces-massive-umroi-airport-upgrade/,0.8402
2025-08-16T01:30:18Z,USA Today,"Puerto Rico Lottery results: See winning numbers for Pega 2, Pega 3 on Aug. 15, 2025",Were you a lucky winner? Check your tickets for lottery draw games in Puerto Rico here.,https://www.usatoday.com/story/money/lottery/2025/08/15/puerto-rico-lottery-results-winning-numbers/85684996007/,0.875
2025-08-16T01:00:49Z,USA Today,Mega Millions winning numbers for 8/15/25: Jackpot at $198 million,"Did you play the Mega Millions? Check your winning numbers for the drawing on Friday, Aug. 15, 2025.",https://www.usatoday.com/story/money/lottery/2025/08/15/mega-millions-winning-numbers/85683639007/,0.8481
2025-08-16T01:00:11Z,Al Jazeera English,Indonesians raise anime pirate flag in protest as nation marks independence,A Japanese cartoon pirate flag has been raised across Indonesia as a sign of growing frustration with the government.,https://www.aljazeera.com/news/2025/8/16/indonesians-raise-anime-pirate-flag-in-protest-as-nation-marks-independence,-0.5267
2025-08-16T00:30:00Z,Nintendo Life,Round Up: Here Are The First Impressions Of The Pokémon Legends: Z-A Demo,"Playable at the World Championships.Pokémon Legends: Z-A isn't out until October, but this weekend there's a Switch 2 demo at the 2025 Pokémon World Championships.The first impressions are now rolling in, and we've put together some thoughts so far – starting…",https://www.nintendolife.com/news/2025/08/round-up-here-are-the-first-impressions-of-the-pokemon-legends-z-a-demo,0.4215
2025-08-16T00:30:00Z,Nintendo Life,"Round Up: The First ""Hands On"" Impressions Of The Pokémon Legends: Z-A Demo Are In","Playable at the World Championships.Pokémon Legends: Z-A isn't out until October, but this weekend there's a Switch 2 demo at the 2025 Pokémon World Championships.The first impressions are now rolling in, and we've put together some thoughts so far – starting…",https://www.nintendolife.com/news/2025/08/round-up-the-first-hands-on-impressions-of-the-pokemon-legends-z-a-demo-are-in,0.4215
