Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,36.17878723144531,40.0,40.5,40.0,40.25,410500,,,
2024-01-04,36.404903411865234,40.25,40.25,39.75,40.0,746100,,,
2024-01-05,36.17878723144531,40.0,40.25,40.0,40.25,196300,,,
2024-01-08,35.7265510559082,39.5,40.0,39.5,39.75,235700,,,
2024-01-09,35.50043869018555,39.25,40.0,39.0,39.75,1032200,,,
2024-01-10,35.50043869018555,39.25,39.25,38.75,39.25,376900,,,
2024-01-11,34.59596633911133,38.25,39.25,38.25,39.0,1330700,,,
2024-01-12,34.82208251953125,38.5,38.5,38.25,38.25,197400,,,
2024-01-15,34.59596633911133,38.25,38.5,38.0,38.5,296300,,,
2024-01-16,34.14373016357422,37.75,38.5,37.75,38.25,1142900,,,
2024-01-17,31.882558822631836,35.25,37.75,35.0,37.5,3448600,,,
2024-01-18,32.560909271240234,36.0,36.75,35.25,35.25,1432200,,,
2024-01-19,32.78702163696289,36.25,36.5,35.75,36.5,794200,,,
2024-01-22,33.013145446777344,36.5,36.5,35.75,36.25,368700,,,25.0
2024-01-23,32.560909271240234,36.0,36.5,36.0,36.25,327500,,,23.33333333333333
2024-01-24,32.78702163696289,36.25,36.5,35.75,36.0,492100,,,23.33333333333333
2024-01-25,32.78702163696289,36.25,36.5,36.25,36.5,316500,,,24.13793103448276
2024-01-26,32.560909271240234,36.0,36.5,36.0,36.5,282300,,,25.0
2024-01-29,33.2392578125,36.75,36.75,36.0,36.0,371500,,,33.33333333333333
2024-01-30,32.78702163696289,36.25,36.75,36.0,36.75,416500,37.625,,31.25
2024-01-31,32.78702163696289,36.25,36.75,36.0,36.25,529800,37.4375,,35.71428571428572
2024-02-01,32.78702163696289,36.25,36.5,36.0,36.25,421400,37.2375,,33.33333333333333
2024-02-02,33.013145446777344,36.5,36.5,36.0,36.5,579100,37.0625,,37.037037037037045
2024-02-05,32.78702163696289,36.25,36.5,36.25,36.5,381600,36.9,,38.46153846153846
2024-02-06,33.46538162231445,37.0,37.0,36.0,36.25,989900,36.7875,,68.42105263157895
2024-02-07,33.46538162231445,37.0,37.0,36.5,36.75,361100,36.675,,62.50000000000001
2024-02-08,33.46538162231445,37.0,37.5,37.0,37.0,543500,36.6125,,60.0
2024-02-09,33.69149398803711,37.25,37.25,37.0,37.0,92800,36.55,,60.0
2024-02-12,33.69149398803711,37.25,37.25,36.75,37.0,218900,36.5,,69.23076923076923
2024-02-13,33.69149398803711,37.25,37.5,37.0,37.5,221400,36.475,,66.66666666666666
2024-02-14,33.69149398803711,37.25,37.25,37.0,37.0,290400,36.575,,66.66666666666666
