Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,31.873550415039062,35.25,35.5,35.0,35.5,32190700,,,
2024-01-04,32.099605560302734,35.5,35.75,35.0,35.25,80609500,,,
2024-01-05,31.873550415039062,35.25,35.75,35.25,35.25,21692900,,,
2024-01-08,32.099605560302734,35.5,35.5,35.0,35.5,29953100,,,
2024-01-09,31.873550415039062,35.25,35.5,35.0,35.5,51337400,,,
2024-01-10,31.873550415039062,35.25,35.5,35.0,35.25,27180000,,,
2024-01-11,31.647497177124023,35.0,35.25,35.0,35.25,8032800,,,
2024-01-12,30.969335556030273,34.25,35.25,34.25,35.0,77705300,,,
2024-01-15,30.29117774963379,33.5,34.25,33.5,34.25,60579100,,,
2024-01-16,30.517230987548828,33.75,34.0,33.25,33.5,44606100,,,
2024-01-17,30.29117774963379,33.5,33.75,33.0,33.75,83651300,,,
2024-01-18,30.517230987548828,33.75,34.0,33.5,33.5,56301400,,,
2024-01-19,30.969335556030273,34.25,34.5,34.0,34.0,55437000,,,
2024-01-22,30.743282318115234,34.0,34.25,33.75,34.25,20909000,,,35.294117647058826
2024-01-23,30.743282318115234,34.0,34.25,33.5,34.25,38875800,,,35.294117647058826
2024-01-24,30.969335556030273,34.25,34.25,33.75,34.0,28836900,,,35.294117647058826
2024-01-25,30.969335556030273,34.25,34.5,34.0,34.25,21760400,,,37.5
2024-01-26,30.743282318115234,34.0,34.5,34.0,34.25,16987200,,,31.25
2024-01-29,31.195390701293945,34.5,34.5,34.0,34.5,28776500,,,41.17647058823529
2024-01-30,30.743282318115234,34.0,34.25,34.0,34.25,35241900,34.45,,36.8421052631579
2024-01-31,30.517230987548828,33.75,34.25,33.75,34.0,47266600,34.375,,36.8421052631579
2024-02-01,30.969335556030273,34.25,34.25,33.75,34.0,36959700,34.3125,,50.0
2024-02-02,30.743282318115234,34.0,34.25,34.0,34.25,19403200,34.25,,56.25
2024-02-05,30.743282318115234,34.0,34.25,33.75,34.0,27945300,34.175,,53.33333333333333
2024-02-06,30.969335556030273,34.25,34.5,34.0,34.25,20578900,34.125,,60.0
2024-02-07,31.647497177124023,35.0,35.0,34.25,34.25,43166300,34.1125,,64.70588235294119
2024-02-08,31.42144012451172,34.75,35.25,34.75,35.0,39944600,34.1,,56.25
2024-02-09,31.647497177124023,35.0,35.0,34.75,35.0,15907400,34.1375,,62.50000000000001
2024-02-12,31.42144012451172,34.75,35.0,34.75,34.75,6057800,34.2,,58.82352941176471
2024-02-13,31.647497177124023,35.0,35.25,34.75,35.0,27500600,34.2625,,58.82352941176471
2024-02-14,31.42144012451172,34.75,35.0,34.5,34.75,23687100,34.325,,55.55555555555556
2024-02-15,31.42144012451172,34.75,35.0,34.5,34.75,25626000,34.375,,58.82352941176471
2024-02-16,32.32565689086914,35.75,36.0,35.0,35.25,86147000,34.45,,63.15789473684211
2024-02-19,32.32565689086914,35.75,36.0,35.5,35.75,37320000,34.5375,,70.58823529411765
2024-02-20,32.32565689086914,35.75,36.0,35.5,35.75,23171400,34.625,,75.0
2024-02-21,32.55171203613281,36.0,36.0,35.5,35.75,41840800,34.7125,,73.33333333333333
2024-02-22,32.55171203613281,36.0,36.25,35.75,35.75,41100400,34.8,,78.57142857142857
2024-02-23,32.55171203613281,36.0,36.0,35.5,35.75,48602500,34.9,,78.57142857142857
2024-02-27,32.32565689086914,35.75,36.0,35.5,35.75,47957600,34.9625,,71.42857142857143
2024-02-28,32.099605560302734,35.5,35.75,35.5,35.5,41754200,35.0375,,58.33333333333333
2024-02-29,32.05281066894531,34.25,34.75,34.0,34.5,72863600,35.0625,,43.75
2024-03-01,31.81884765625,34.0,34.5,34.0,34.25,32854700,35.05,,37.5
2024-03-04,32.05281066894531,34.25,34.25,33.75,34.0,42686500,35.0625,,43.75
2024-03-05,32.05281066894531,34.25,34.25,33.75,34.0,27978000,35.075,,39.99999999999999
2024-03-06,32.05281066894531,34.25,34.5,33.75,34.0,28711800,35.075,,42.857142857142854
2024-03-07,32.286773681640625,34.5,34.5,34.0,34.25,56735600,35.05,,46.666666666666664
2024-03-08,31.81884765625,34.0,34.25,33.75,34.25,46329600,35.0125,,23.07692307692308
2024-03-11,31.584888458251953,33.75,34.0,33.75,33.75,36316500,34.95,,21.42857142857143
2024-03-12,31.584888458251953,33.75,33.75,33.75,33.75,0,34.9,,21.42857142857143
2024-03-13,32.05281066894531,34.25,34.25,33.75,33.75,24096500,34.8625,34.62,26.66666666666667
2024-03-14,32.52073287963867,34.75,35.0,34.0,34.0,65262600,34.8625,34.61,35.294117647058826
2024-03-15,32.52073287963867,34.75,34.75,34.75,34.75,0,34.8625,34.595,35.294117647058826
2024-03-18,32.05281066894531,34.25,35.0,34.25,34.75,42992200,34.7875,34.575,33.33333333333333
2024-03-19,32.286773681640625,34.5,34.5,34.25,34.25,9841600,34.725,34.555,38.888888888888886
2024-03-20,32.286773681640625,34.5,34.5,34.5,34.5,0,34.6625,34.54,53.846153846153854
2024-03-21,32.05281066894531,34.25,34.25,33.75,34.0,20317100,34.575,34.52,53.846153846153854
2024-03-22,32.05281066894531,34.25,34.25,34.25,34.25,0,34.4875,34.505,50.0
2024-03-25,31.584888458251953,33.75,34.25,33.5,34.0,69549100,34.375,34.495,42.857142857142854
2024-03-26,31.584888458251953,33.75,33.75,33.75,33.75,0,34.275,34.5,42.857142857142854
2024-03-27,31.584888458251953,33.75,33.75,33.5,33.5,6680800,34.1875,34.5,38.46153846153846
2024-03-28,31.584888458251953,33.75,33.75,33.75,33.75,0,34.1625,34.505,45.45454545454546
2024-03-29,31.81884765625,34.0,34.0,33.5,33.5,12813100,34.1625,34.51,54.54545454545455
2024-04-01,31.584888458251953,33.75,34.0,33.5,34.0,39930400,34.1375,34.5,50.0
2024-04-02,31.81884765625,34.0,34.0,33.5,33.5,35655800,34.125,34.5,45.45454545454546
2024-04-03,32.286773681640625,34.5,34.75,34.0,34.0,40357800,34.1375,34.51,45.45454545454546
2024-04-04,32.286773681640625,34.5,34.5,34.5,34.5,0,34.1375,34.515,45.45454545454546
2024-04-05,32.52073287963867,34.75,34.75,34.25,34.5,25086500,34.175,34.525,60.0
2024-04-09,32.52073287963867,34.75,34.75,34.75,34.75,0,34.225,34.54,55.55555555555556
2024-04-10,32.52073287963867,34.75,34.75,34.75,34.75,0,34.275,34.545,55.55555555555556
2024-04-11,32.52073287963867,34.75,35.25,34.75,35.0,33644800,34.3,34.56,62.50000000000001
2024-04-17,32.52073287963867,34.75,34.75,34.75,34.75,0,34.3,34.58,62.50000000000001
2024-04-18,32.52073287963867,34.75,34.75,34.75,34.75,0,34.3,34.59,83.33333333333333
2024-04-19,32.52073287963867,34.75,34.75,34.75,34.75,0,34.325,34.605,83.33333333333333
2024-04-22,31.584888458251953,33.75,33.75,33.5,33.75,15080400,34.2875,34.6,50.0
2024-04-23,31.81884765625,34.0,34.25,33.5,33.75,24988300,34.2625,34.595,54.54545454545455
2024-04-24,31.81884765625,34.0,34.0,34.0,34.0,0,34.25,34.575,50.0
2024-04-25,31.584888458251953,33.75,34.0,33.75,33.75,6503500,34.225,34.555,50.0
2024-04-26,31.584888458251953,33.75,34.25,33.5,34.0,32118100,34.225,34.53,44.444444444444436
2024-04-29,31.584888458251953,33.75,34.0,33.25,33.75,56874300,34.225,34.51,28.57142857142857
2024-04-30,31.584888458251953,33.75,33.75,33.5,33.75,17428200,34.225,34.485,28.57142857142857
2024-05-02,31.116962432861328,33.25,33.75,33.25,33.5,39656500,34.2,34.455,12.5
2024-05-03,31.584888458251953,33.75,33.75,33.25,33.25,32885000,34.1875,34.435,30.0
