Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,29.418611526489258,32.0,32.25,31.5,31.75,3634700,,,
2024-01-04,29.6484432220459,32.25,32.25,31.5,32.0,2836700,,,
2024-01-05,29.418611526489258,32.0,32.25,31.75,32.25,2839200,,,
2024-01-08,28.958946228027344,31.5,32.0,31.5,32.0,819000,,,
2024-01-09,28.729114532470703,31.25,31.75,31.25,31.75,2869400,,,
2024-01-10,28.729114532470703,31.25,31.5,30.5,31.25,8271800,,,
2024-01-11,28.729114532470703,31.25,31.25,31.0,31.25,578800,,,
2024-01-12,28.729114532470703,31.25,31.5,31.0,31.25,1727000,,,
2024-01-15,28.958946228027344,31.5,31.75,31.25,31.25,3559000,,,
2024-01-16,28.499279022216797,31.0,31.5,30.75,31.5,3731400,,,
2024-01-17,27.80978012084961,30.25,31.0,30.25,31.0,4077900,,,
2024-01-18,27.80978012084961,30.25,31.0,30.0,30.25,4623800,,,
2024-01-19,27.80978012084961,30.25,30.5,30.25,30.25,1303200,,,
2024-01-22,27.57994842529297,30.0,30.5,29.75,30.5,5071800,,,16.666666666666657
2024-01-23,27.57994842529297,30.0,30.25,29.5,30.0,2981300,,,16.666666666666657
2024-01-24,28.03961181640625,30.5,30.5,29.5,30.0,3964900,,,23.07692307692308
2024-01-25,27.80978012084961,30.25,30.5,30.0,30.0,1590400,,,23.07692307692308
2024-01-26,28.03961181640625,30.5,30.75,30.25,30.25,1684400,,,33.33333333333333
2024-01-29,28.03961181640625,30.5,30.75,30.25,30.5,1259900,,,36.36363636363636
2024-01-30,28.03961181640625,30.5,31.0,30.25,30.5,3246200,30.9125,,36.36363636363636
2024-01-31,27.80978012084961,30.25,30.5,30.0,30.5,5466700,30.825,,33.33333333333333
2024-02-01,27.57994842529297,30.0,30.5,30.0,30.25,2155600,30.7125,,30.769230769230774
2024-02-02,28.03961181640625,30.5,30.75,30.0,30.5,3282300,30.6375,,35.71428571428572
2024-02-05,28.03961181640625,30.5,30.75,30.25,30.5,1352400,30.5875,,41.66666666666667
2024-02-06,28.269445419311523,30.75,31.0,30.5,30.75,4014200,30.5625,,60.0
2024-02-07,28.03961181640625,30.5,30.75,30.25,30.5,2267500,30.525,,54.54545454545455
2024-02-08,28.03961181640625,30.5,31.0,30.5,30.5,3306400,30.4875,,54.54545454545455
2024-02-09,27.80978012084961,30.25,30.5,30.0,30.5,2620600,30.4375,,54.54545454545455
2024-02-12,27.57994842529297,30.0,30.5,30.0,30.25,2084700,30.3625,,50.0
2024-02-13,27.350114822387695,29.75,30.25,29.75,30.0,2572400,30.3,,36.36363636363636
2024-02-14,27.350114822387695,29.75,30.0,29.5,29.75,3363800,30.275,,39.99999999999999
2024-02-15,26.89044952392578,29.25,30.0,29.25,29.75,5234500,30.225,,27.272727272727266
2024-02-16,26.89044952392578,29.25,29.5,28.75,29.25,5992000,30.175,,27.272727272727266
2024-02-19,27.350114822387695,29.75,29.75,29.0,29.25,1921900,30.1625,,38.46153846153846
2024-02-20,27.120283126831055,29.5,29.75,29.25,29.5,2330100,30.1375,,38.46153846153846
2024-02-21,27.350114822387695,29.75,30.0,29.25,29.5,2220500,30.1,,46.15384615384615
2024-02-22,27.57994842529297,30.0,30.25,29.75,29.75,1344700,30.0875,,41.66666666666667
2024-02-23,27.350114822387695,29.75,30.25,29.75,30.0,1242400,30.05,,38.46153846153846
2024-02-27,26.89044952392578,29.25,30.0,29.25,30.0,4541400,29.9875,,28.57142857142857
2024-02-28,27.120283126831055,29.5,29.5,29.0,29.25,3183500,29.9375,,35.71428571428572
2024-02-29,26.660615921020508,29.0,29.25,28.75,29.25,6284300,29.875,,31.25
2024-03-01,26.430782318115234,28.75,29.0,28.5,29.0,2982600,29.8125,,31.25
2024-03-04,26.430782318115234,28.75,29.0,28.5,28.75,2316200,29.725,,33.33333333333333
2024-03-05,26.430782318115234,28.75,29.0,28.5,28.5,2963000,29.6375,,35.71428571428572
2024-03-06,26.200950622558594,28.5,29.0,28.25,28.75,4232300,29.525,,33.33333333333333
2024-03-07,26.200950622558594,28.5,28.75,28.25,28.5,2236100,29.425,,38.46153846153846
2024-03-08,26.660615921020508,29.0,29.25,28.5,28.5,6524800,29.35,,46.666666666666664
2024-03-11,26.89044952392578,29.25,29.5,28.75,29.0,2760500,29.3,,42.857142857142854
2024-03-12,26.89044952392578,29.25,29.25,29.25,29.25,0,29.2625,,46.15384615384615
2024-03-13,27.120283126831055,29.5,29.75,29.0,29.0,4373400,29.25,30.125,46.15384615384615
2024-03-14,26.89044952392578,29.25,29.5,29.0,29.25,3154900,29.225,30.07,38.46153846153846
2024-03-15,27.646595001220703,29.25,29.25,29.25,29.25,0,29.225,30.01,41.66666666666667
2024-03-18,26.937707901000977,28.5,29.0,28.5,28.75,750800,29.1875,29.94,38.46153846153846
2024-03-19,26.701412200927734,28.25,28.75,28.25,28.5,2318300,29.1125,29.875,30.769230769230774
2024-03-20,26.701412200927734,28.25,28.25,28.25,28.25,0,29.05,29.815,36.36363636363636
2024-03-21,26.701412200927734,28.25,28.5,27.75,28.0,2319200,28.975,29.755,39.99999999999999
2024-03-22,26.701412200927734,28.25,28.25,28.25,28.25,0,28.8875,29.695,39.99999999999999
2024-03-25,26.22882080078125,27.75,28.5,27.75,28.25,1807800,28.7875,29.625,33.33333333333333
2024-03-26,26.22882080078125,27.75,27.75,27.75,27.75,0,28.7125,29.55,36.36363636363636
2024-03-27,26.465116500854492,28.0,28.25,27.75,27.75,1791900,28.6375,29.49,41.66666666666667
2024-03-28,26.465116500854492,28.0,28.0,28.0,28.0,0,28.5875,29.445,30.0
2024-03-29,26.22882080078125,27.75,28.0,27.75,27.75,756500,28.5375,29.395,20.0
2024-04-01,26.465116500854492,28.0,28.25,28.0,28.0,1191400,28.5,29.35,27.272727272727266
2024-04-02,26.465116500854492,28.0,28.25,28.0,28.25,897500,28.4625,29.31,20.0
