publishedAt,source,title,description,url,vader_compound
2025-08-16T02:30:39Z,Freerepublic.com,"America Prayer Vigil - August 16, 2025","Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",https://freerepublic.com/focus/f-religion/4334872/posts,0.5267
2025-08-16T01:00:11Z,Al Jazeera English,Indonesians raise anime pirate flag in protest as nation marks independence,A Japanese cartoon pirate flag has been raised across Indonesia as a sign of growing frustration with the government.,https://www.aljazeera.com/news/2025/8/16/indonesians-raise-anime-pirate-flag-in-protest-as-nation-marks-independence,-0.5267
2025-08-15T23:59:59Z,ABC News (AU),"After his wife died, Graeme Davidson went home to burn documents, court records allege",Court documents detail the movements of Graeme Davidson in the days after his wife Jacqueline died in 2020.,https://www.abc.net.au/news/2025-08-16/qld-court-documents-murder-charge-graeme-davidson/105661132,-0.802
2025-08-15T23:03:20Z,7NEWS.com.au,"Gen Z: Bangkok, Melbourne, New York, London the best cities in the world for 20-somethings","Nearly four in five young Melburnians described their city as diverse and inclusive, and an impressive 96 per cent praised its art and culture scene.",https://7news.com.au/news/gen-z-the-best-cities-in-the-world-to-explore-for-the-20-somethings-c-19693545,0.8934
2025-08-15T23:00:13Z,Screen Rant,Top 3 HBO Max Original Series to Stream This Weekend,"Discover the best HBO Max original series to binge-watch this weekend, featuring shows like How To With John Wilson, Winning Time, &amp; The White Lotus.",https://screenrant.com/best-shows-to-binge-on-hbo-max-this-weekend-august-15/,0.9382
2025-08-15T22:52:00Z,esquire.com,"Gavin Newsom Is Going Full Trump-Mode, but It’s Actually a Good Thing",The California governor is certainly trying something new to push back against the MAGA horde.,https://www.esquire.com/news-politics/politics/a65794624/gavin-newsom-trump-tweets/,0.7876
2025-08-15T22:40:55Z,Daily Signal,EXCLUSIVE: What Alaska’s Governor Expects From Trump-Putin Summit,"FIRST ON DAILY SIGNAL—Reports that the Trump administration might strike a deal granting Russia access to Alaskan minerals are “fake news,” Alaska Gov. Mike Dunleavy... Read More
The post EXCLUSIVE: What Alaska’s Governor Expects From Trump-Putin Summit appea…",https://www.dailysignal.com/2025/08/15/exclusive-what-alaskas-governor-expects-trump-putin-summit/,0.6447
2025-08-15T22:32:26Z,BBC News,"An artist on the run, an exhibition censored: How China tried to silence a Thai art show","The show which contained works by Tibetan, Uyghur and Hong Kong artists has since been censored.",https://www.bbc.com/news/articles/cj6yx71565jo,-0.296
2025-08-15T22:29:28Z,9to5Mac,Morgan Stanley says Apple stock could be ‘turning the corner’ on strong iPhone demand,"Despite a recent 15% bump, following positive Q3 2025 results and a stunt that brought it tariff relief, Apple’s stock is still 5% in the red for the year. But in a recently published investor note, Morgan Stanley says it believes momentum will keep shifting.…",https://9to5mac.com/2025/08/15/morgan-stanley-says-apple-stock-could-be-turning-the-corner-on-strong-iphone-demand/,0.6428
2025-08-15T21:38:01Z,Rlsbb.cc,Ghost House 2017 1080p AMZN WEB-DL H264-GPRS,Awards 1 nomination total See more awards » Plot: A young couple go on an adventurous vacation to Thailand only to find themselves haunted by a malevolent spirit after naively disrespecting a Ghost House. Genre: Horror | ThrillerIMDB Rating Live: IMDB Rating:…,https://post.rlsbb.cc/ghost-house-2017-1080p-amzn-web-dl-h264-gprs/,-0.2516
