publishedAt,source,title,description,url,vader_compound
2025-08-14T05:32:50Z,ETF Daily News,Critical Analysis: Universal Entertainment (OTCMKTS:UETMF) and PLAYSTUDIOS (NASDAQ:MYPS),"Universal Entertainment (OTCMKTS:UETMF – Get Free Report) and PLAYSTUDIOS (NASDAQ:MYPS – Get Free Report) are both small-cap consumer discretionary companies, but which is the superior investment? We will compare the two companies based on the strength of the…",https://www.etfdailynews.com/2025/08/14/critical-analysis-universal-entertainment-otcmktsuetmf-and-playstudios-nasdaqmyps/,0.9382
2025-08-14T05:32:49Z,ETF Daily News,Critical Contrast: Hayward (NYSE:HAYW) & Daikin Industries (OTCMKTS:DKILY),"Hayward (NYSE:HAYW – Get Free Report) and Daikin Industries (OTCMKTS:DKILY – Get Free Report) are both computer and technology companies, but which is the superior investment? We will contrast the two companies based on the strength of their dividends, valuat…",https://www.etfdailynews.com/2025/08/14/critical-contrast-hayward-nysehayw-daikin-industries-otcmktsdkily/,0.9136
2025-08-14T05:32:49Z,ETF Daily News,Critical Contrast: Southside Bancshares (SBSI) and The Competition,"Insider and Institutional Ownership 55.7% of Southside Bancshares shares are owned by institutional investors. Comparatively, 54.3% of shares of all “BANKS – SOUTHWEST” companies are owned by institutional investors. 6.0% of Southside Bancshares shares are ow…",https://www.etfdailynews.com/2025/08/14/critical-contrast-southside-bancshares-sbsi-and-the-competition/,0.5106
2025-08-14T05:32:49Z,ETF Daily News,Head to Head Review: Fidelis Insurance (NYSE:FIHL) vs. Fidelity National Financial (NYSE:FNF),"Fidelis Insurance (NYSE:FIHL – Get Free Report) and Fidelity National Financial (NYSE:FNF – Get Free Report) are both finance companies, but which is the better business? We will compare the two companies based on the strength of their dividends, analyst reco…",https://www.etfdailynews.com/2025/08/14/head-to-head-review-fidelis-insurance-nysefihl-vs-fidelity-national-financial-nysefnf/,0.9091
2025-08-14T05:31:47Z,Yahoo Entertainment,3 European Dividend Stocks To Consider With At Least 3.2% Yield,"The European market has shown resilience with the pan-European STOXX Europe 600 Index rising 2.11%, buoyed by strong corporate earnings and optimism...",https://finance.yahoo.com/news/3-european-dividend-stocks-consider-053147446.html,0.5106
2025-08-14T05:31:43Z,Electronicintifada.net,Bodybuilder feels powerless after Israel massacred his family,Hussein Odeh seeks urgent medical care for his wounded wife.,https://electronicintifada.net/content/bodybuilder-feels-powerless-after-israel-massacred-his-family/50869,0.2023
2025-08-14T05:31:15Z,Protothema.gr,Cyprus: 51 years of occupation in Famagusta – The city that has memory and the history that cannot be rewritten by changing signs,"A ghost town with empty hotel facades, concrete skeletons, shops with faded windows, schools with closed classrooms and mute churches
The post Cyprus: 51 years of occupation in Famagusta – The city that has memory and the history that cannot be rewritten by c…",https://en.protothema.gr/2025/08/14/cyprus-51-years-of-occupation-in-famagusta-the-city-that-has-memory-and-the-history-that-cannot-be-rewritten-by-changing-signs/,-0.4767
2025-08-14T05:31:01Z,Realgm.com,"Marc Lasry-Led Connecticut Group To Match $325M Bid For Sun, Will Move Team To Hartford","A Connecticut-based group featuring Marc Lasry and the state of Connecticut matched the reported $325 million bid from Steve Pagliuca to purchase the Connecticut Sun. 
If successful, the group would move the team to Hartford and play home games at PeoplesBank…",https://basketball.realgm.com/wiretap/281670/Marc-Lasry-Led-Connecticut-Group-To-Match-$325M-Bid-For-Sun-Will-Move-Team-To-Hartford,0.7351
2025-08-14T05:30:28Z,Bloomberg,Trump’s 50% tariff threatens India’s manufacturing ambitions,"That progress is suddenly vulnerable. While the tariff hike spares smartphones and pharmaceuticals for now, it puts the rest of India’s $87 billion in US-bound exports on the line",https://www.bloomberg.com/news/articles/2025-08-14/trump-s-50-tariff-shock-hits-india-s-manufacturing-ambitions,-0.1779
2025-08-14T05:30:00Z,The Irish Times,"The dark heart of carbon credits: corporate greenwashing, displacement and sexual exploitation","Amid the climate crisis, no amount of wishing for an imaginary carbon unicorn will make it true",https://www.irishtimes.com/environment/climate-crisis/2025/08/14/the-reality-of-carbon-credits-corporate-greenwashing-displacement-and-sexual-exploitation/,-0.128
2025-08-14T05:29:56Z,The Times of India,"Where to watch Coolie Tamil movie in the US and Canada: theaters, showtimes, and streaming release","The Tamil action film Coolie is screening in select theaters across the US and Canada under Prathyangira Cinemas’ distribution. Premiering August 13–14, 2025, the Rajinikanth starrer will later stream on Amazon Prime Video, with a digital release expected by …",https://economictimes.indiatimes.com/news/international/us/where-to-watch-coolie-tamil-movie-in-the-us-and-canada-theaters-showtimes-and-streaming-release/articleshow/123296180.cms,0.1779
2025-08-14T05:29:10Z,The Times of India,Forget business class. How much does a private jet ticket cost in India? Top YouTuber reveals prices,"Sourav Joshi, a popular Indian YouTuber, marked 35 million subscribers. He flew his family to Udaipur in a private jet. The cost was reportedly Rs 15-20 lakh per person. The video sparked reactions online. Some people questioned the expense. Others acknowledg…",https://economictimes.indiatimes.com/magazines/panache/forget-business-class-how-much-does-a-private-jet-ticket-cost-in-india-top-youtuber-reveals-prices/articleshow/123295446.cms,0.3182
2025-08-14T05:29:00Z,New York Daily News,"After long rain delay, Mets blow 6-0 lead and lose to Atlanta Braves","Just when it looked like the Mets were finally able to produce runs, a six-run outburst over the first two innings was undone by yet another starting pitching implosion. David Peterson, the only starter in the rotation who can reliably go six innings every fi…",https://www.nydailynews.com/2025/08/13/mets-braves-rain-delay-david-peterson/,0.1027
2025-08-14T05:28:47Z,Venturesquare.net,"두왓, ‘Techsauce Innovation Awards 2025’ 수상","두왓(DOWHAT)이 지난 태국 방콕 퀸 시리킷 국립컨벤션센터(QSNCC)에서 개최된 ‘2025 방콕 관광기업지원센터(KTSC: Korea Tourism Startup Center) 데모데이’에서 ‘Techsauce Innovation Awards 2025’를 수상했다...
The post 두왓, ‘Techsauce Innovation Awards 2025’ 수상 appeared first on 벤처스퀘어.",https://www.venturesquare.net/999891,0.9413
2025-08-14T05:27:35Z,The Times of India,Meghalaya asks Centre to convince Bangladesh to erect fencing close to international border,Meghalaya government has requested the Union Ministry of Home Affairs to persuade Bangladesh for border fencing. This fencing will be closer to the international boundary. The goal is to secure a 40 km unfenced stretch. This move aims to protect villages with…,https://economictimes.indiatimes.com/news/india/meghalaya-asks-centre-to-convince-bangladesh-to-erect-fencing-close-to-international-border/articleshow/123296144.cms,0.7184
2025-08-14T05:27:12Z,ETF Daily News,Quebecor (TSE:QBR) Upgraded by National Bank Financial to Strong-Buy Rating,"National Bank Financial upgraded shares of Quebecor (TSE:QBR – Free Report) from a hold rating to a strong-buy rating in a research note published on Monday,Zacks.com reports. National Bank Financial also issued estimates for Quebecor’s FY2026 earnings at $3.…",https://www.etfdailynews.com/2025/08/14/quebecor-tseqbr-upgraded-by-national-bank-financial-to-strong-buy-rating/,0.6705
2025-08-14T05:26:00Z,BusinessLine,Cognizant to roll out wage hikes for 80% of eligible employees effective Nov 1,"“The amount of these increases will vary depending on individual performance rating and country,” a Cognizant spokesperson said on Thursday",https://www.thehindubusinessline.com/info-tech/cognizant-to-roll-out-wage-hikes-for-80-of-eligible-employees-effective-nov-1/article69931616.ece,0.4767
2025-08-14T05:25:32Z,Sporting News,"Former Cardinals MVP, Yankees' Paul Goldschmidt suffers injury setback",Former St. Louis Cardinals MVP turned New York Yankees first baseman Paul Goldschmidt recently suffered an injury that could end in a stint on the injured list.,https://www.sportingnews.com/us/mlb/st-louis-cardinals/news/cardinals-mvp-yankees-paul-goldschmidt-suffers-injury/24650b802c9b877707f253d0,-0.9274
2025-08-14T05:24:09Z,Biztoc.com,Zuckerberg squandered his AI talent. Now he’s spending billions to replace it,"At Meta, a chaotic culture and lack of vision have led to brain drain, with rivals saying its AI talent is lacklustre. But Zuckerberg’s frenzied hiring spree hasn’t stopped the departures.
Meta was teeming with top AI talent, until it wasn’t. Years before Mar…",https://biztoc.com/x/fb01b59de4dd924b,0.6249
2025-08-14T05:24:03Z,Biztoc.com,Elon Musk’s SpaceX bitcoin holdings top $1 billion as BTC hits fresh highs,SpaceX's bitcoin holdings surpassed $1 billion as the cryptocurrency surged to hit a new all-time high on Wednesday.,https://biztoc.com/x/4ac5da00d34bfdb4,0.4767
2025-08-14T05:20:05Z,UPI.com,"CDC director: Misinformation 'lead to deadly consequence"" in Atlanta","The CDC director described the dangers of misinformation, four days after a gunman shot at the headquarters in Atlanta, claiming the COVID-19 shot sickened...",https://www.upi.com/Top_News/US/2025/08/14/CDC-director-Susan-Monarez-misinformation-deadly-consequences/9751755142684/,-0.7783
2025-08-14T05:20:01Z,Sporting News,"How to watch IMG vs. First Academy football: Channel, live stream, kickoff time for Thursday high school game","Here's everything you need to know about IMG vs. First Academy, including TV and streaming information.",https://www.sportingnews.com/us/us-high-school/news/watch-img-first-academy-football-channel-stream-kickoff-time-thursday/2f1315c8bab129717e9dcc83,0.0
2025-08-14T05:19:57Z,NBCSports.com,Fantasy Baseball Closer Report: Bryan Abreu poised to step up as Josh Hader lands on injured list,Jorge Montanez breaks down the last week in saves and middle relievers on the rise in the latest closer report.,https://www.nbcsports.com/fantasy/baseball/news/fantasy-baseball-closer-report-bryan-abreu-poised-to-step-up-as-josh-hader-lands-on-injured-list,0.0772
2025-08-14T05:19:00Z,The Japan Times,Trump’s 50% tariff threatens India’s manufacturing ambitions,The U.S. is now India’s biggest export market and one of its top sources of foreign investment.,https://www.japantimes.co.jp/business/2025/08/14/markets/trump-tariff-india-manufacturing/,-0.2023
2025-08-14T05:16:44Z,Globalsecurity.org,Trump Warns Russia Of 'Very Severe Consequences' If No End To Ukraine War,"Just two days ahead of a summit with President Vladimir Putin, US President Donald Trump has warned Russia of ""very severe consequences"" if it doesn't halt its war against Ukraine.",https://www.globalsecurity.org/wmd/library/news/ukraine/2025/08/ukraine-250813-rferl03.htm,-0.8818
2025-08-14T05:15:47Z,Twistedsifter.com,"Woman Was Still In The Early Stages Of Her Pregnancy, So She Told Her Mom Off For Preemptively Telling Everyone About It",Some people are in desperate need of an information diet.,http://twistedsifter.com/2025/08/woman-was-still-in-the-early-stages-of-her-pregnancy-so-she-told-her-mom-off-for-preemptively-telling-everyone-about-it/,-0.3182
2025-08-14T05:15:41Z,Carriermanagement.com,"Mission, Purpose Not High on Wish Lists of Industry Newbies: Informal Talent Poll","A poll of workers recently hired into the property/casualty insurance industry conducted during a Travelers Institute webinar last month produced some unusual results, surprising one webinar panelist who leads a key business segment at Travelers. Only 20 perc…",https://www.carriermanagement.com/features/2025/08/12/278317.htm,0.3903
2025-08-14T05:14:50Z,Fangraphs.com,"Starting Pitcher Chart – August 14th, 2025","Thin board with very few streaming options... be careful out there!
Source",https://fantasy.fangraphs.com/starting-pitcher-chart-august-14th-2025/,0.2244
2025-08-14T05:14:48Z,ETF Daily News,Financial Comparison: America Movil (NYSE:AMX) versus KDDI (OTCMKTS:KDDIY),"America Movil (NYSE:AMX – Get Free Report) and KDDI (OTCMKTS:KDDIY – Get Free Report) are both large-cap computer and technology companies, but which is the superior stock? We will contrast the two businesses based on the strength of their valuation, analyst …",https://www.etfdailynews.com/2025/08/14/financial-comparison-america-movil-nyseamx-versus-kddi-otcmktskddiy/,0.9239
2025-08-14T05:14:27Z,Dpa-international.com,Thomas Müller gets warm welcome from Whitecaps fans in Vancouver,"Former Bayern Munich icon Thomas Müller received a warm reception from Vancouver Whitecaps fans as he touched down in Canada on Wednesday evening to begin the next chapter of his career. Müller, 35, was greeted at Vancouver International Airport by representa…",https://dpa-international.com/sports/urn:newsml:dpa.com:20090101:250814-99-730905/,0.7845
2025-08-14T05:14:19Z,Globalsecurity.org,"Remote, Symbolic, Strategic: Alaska Takes Center Stage For Trump-Putin Meeting","For Putin, the summit's location signals a subtle but significant win, according to Matthew Schmidt, a professor of homeland security and international affairs at the University of New Haven. The Russian media, Schmidt said, has praised the choice of holding …",https://www.globalsecurity.org/wmd/library/news/ukraine/2025/08/ukraine-250813-rferl02.htm,0.9413
2025-08-14T05:13:54Z,The Times of India,"Vietnam makes first US oil purchase in 2025, sources say","Binh Son Refining and Petrochemical, Vietnam, will buy one million barrels of U.S. crude for November. This marks Vietnam's first U.S. oil purchase in 2025. The light-sweet crude is from Mercuria. Vietnam committed to buying more U.S. crude in deals with Wash…",https://economictimes.indiatimes.com/news/international/world-news/vietnam-makes-first-us-oil-purchase-in-2025-sources-say/articleshow/123295865.cms,-0.875
2025-08-14T05:12:56Z,Yahoo Entertainment,Lenovo Shares Slide After Margin Concerns Outweigh Results Beat,"The impact from US tariffs is “very limited” for Lenovo, Chairman Yang Yuanqing said.  “We have built more than 30 factories in more than 10 countries that...",https://finance.yahoo.com/news/lenovo-shares-slide-margin-concerns-051256662.html,0.296
2025-08-14T05:12:55Z,CBS Sports,"Shohei Ohtani accomplishes ultra-rare feat in return to Angel Stadium mound, but night ends poorly for Dodgers",Ohtani pitched in Anaheim for the first time since 2023 on Wednesday,https://www.cbssports.com/mlb/news/shohei-ohtani-accomplishes-ultra-rare-feat-in-return-to-angel-stadium-mound-but-night-ends-poorly-for-dodgers/,0.2144
2025-08-14T05:12:16Z,The-independent.com,Everything Taylor Swift revealed about The Life of a Showgirl on the New Heights podcast,Pop superstar confirmed the 12 songs named on the tracklist are the only ones she will release for the album: ‘There’s no other songs coming’,https://www.the-independent.com/arts-entertainment/music/news/taylor-swift-life-of-a-showgirl-album-tracklist-release-date-b2807374.html,-0.1027
2025-08-14T05:10:13Z,The Times of India,Is this the time to invest in India's growing defence sector? Narendra Solanki answers,"Anand Rathi Shares' Narendra Solanki highlights the significant long-term growth potential of India's defence sector, driven by substantial demand and decreasing import reliance. Domestic manufacturers are gaining traction with the armed forces, leading to in…",https://economictimes.indiatimes.com/markets/expert-view/is-this-the-time-to-invest-in-indias-growing-defence-sector-narendra-solanki-answers/articleshow/123295730.cms,0.8807
2025-08-14T05:10:00Z,Cryptopolitan,"MAGACOIN FINANCE Tipped for 12,000% Gains as Chainlink and Ethereum See $1.4B Whale Inflows","A huge amount of capital is coming to the market. And this time, Ethereum and Chainlink are leading the way. In just the last week alone, over $1.4 billion in whale-sized inflows have been recorded between the two altcoins, suggesting a full-blown altcoin sea…",https://partner.cryptopolitan.com/magacoin-finance-tipped-for-12000-gains-as-chainlink-and-ethereum-see-1-4b-whale-inflows/,0.4019
2025-08-14T05:10:00Z,Psgtalk.com,Man City Get Good News as Chelsea Unlikely Fit for PSG Outcast,"Gianluigi Donnarumma’s stint at PSG appears to be coming to an end after the club signed Lucas Chevalier. The 26-year-old goalkeeper is reportedly looking for a long-term move, with Manchester Unite...",https://psgtalk.com/2025/08/man-city-chelsea-psg-donnarumma-news/,0.6597
2025-08-14T05:09:46Z,kyweathercenter.com,Storms Slowly Give Way to Weekend Heat,"Good Thursday, everyone. It’s another day of scattered showers and booming storms as we get set for a blast of heat. Temps head toward the 90s for the upcoming weekend and early next week. That’s before a dip in the jet stream throws us some much better air l…",https://kyweathercenter.com/?p=72145,0.7003
2025-08-14T05:09:25Z,The Times of India,RIL in bear grip as shares slide 7% since Q1. Can AGM be the next trigger point?,"Despite strong Q1 earnings and positive brokerage ratings, Reliance Industries' shares have declined, prompting market experts to suggest a corrective phase. Investors are eyeing the upcoming AGM for updates on business growth targets, the new energy sector, …",https://economictimes.indiatimes.com/markets/stocks/news/ril-in-bear-grip-as-shares-slide-7-since-q1-can-agm-be-the-next-trigger-point/articleshow/123295781.cms,0.8401
2025-08-14T05:08:55Z,ETF Daily News,Equities Analysts Offer Predictions for Boralex Q3 Earnings,"Boralex Inc. (TSE:BLX – Free Report) – Equities research analysts at National Bank Financial upped their Q3 2025 earnings per share (EPS) estimates for Boralex in a research report issued to clients and investors on Sunday, August 10th. National Bank Financia…",https://www.etfdailynews.com/2025/08/14/equities-analysts-offer-predictions-for-boralex-q3-earnings/,0.6705
2025-08-14T05:08:51Z,ETF Daily News,Roth Capital Comments on MAG Silver’s Q3 Earnings (TSE:MAG),"MAG Silver Corp. (TSE:MAG – Free Report) (NYSEAMERICAN:MAG) – Roth Capital upped their Q3 2025 earnings per share estimates for shares of MAG Silver in a research note issued to investors on Tuesday, August 12th. Roth Capital analyst J. Reagor now expects tha…",https://www.etfdailynews.com/2025/08/14/roth-capital-comments-on-mag-silvers-q3-earnings-tsemag/,0.7717
2025-08-14T05:07:39Z,BusinessLine,"Nifty Prediction today – Aug 14, 2025: Index testing a barrier","Nifty 50 opens lower, Infosys and Wipro lead gains, Tata Steel and Hindalco Industries top losers. Trading analysis provided.",https://www.thehindubusinessline.com/portfolio/technical-analysis/nifty-prediction-today-aug-14-2025-index-testing-a-barrier/article69931566.ece,0.3612
2025-08-14T05:05:35Z,nj.com,Yankees reveal new injury after lifeless loss to Twins,"The Yankees failed to sweep the Twins on Wednesday after a lengthy rain delay, losing at Yankee Stadium.",https://www.nj.com/yankees/2025/08/yankees-reveal-new-injury-after-lifeless-loss-to-twins.html,-0.9062
2025-08-14T05:05:00Z,The Peoples Person,Morten Hjulmand: Question marks surrounding his physicality could end chances of summer move,"Manchester United are currently focussed on landing an elite midfielder before the summer window slams shut.Carlos Baleba of Brighton and Hove Albion seems to be the preferred choice of Ruben Amorim, ...",https://thepeoplesperson.com/2025/08/14/morten-hjulmand-question-marks-surrounding-his-physicality-could-end-chances-of-summer-move-297669/,0.5574
2025-08-14T05:03:59Z,Decrypt,Ethereum ETF Inflows Outperform Bitcoin for the Third Day Straight,"Ethereum ETFs are attracting record institutional inflows, narrowing the gap with Bitcoin and intensifying upward price pressure.",https://decrypt.co/335154/ethereum-etf-inflows-outperform-bitcoin-for-the-third-day-straight,0.4215
2025-08-14T05:03:34Z,Yahoo Entertainment,'Tesla shame' bypasses Norway as sales jump despite Musk's politics,"SKI, Norway (Reuters) -Like many Norwegians, Espen Lysholm is not a fan of Elon Musk these days, uncomfortable with the world's richest man's lurch into...",https://finance.yahoo.com/news/tesla-shame-bypasses-norway-sales-050334560.html,-0.193
2025-08-14T05:03:15Z,ClutchPoints,Former Michigan QB wins starting job at San Diego State,Former Michigan football QB Jayden Denegal wins the San Diego State starting job for upcoming season after transferring through the portal.,https://clutchpoints.com/ncaa-football/michigan-football-news-denegal-starting-job-san-diego-state,0.8126
