Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14
2024-01-03,47.92887496948242,53.0,53.5,52.75,53.25,6422500,,,
2024-01-04,48.15495681762695,53.25,53.5,52.75,53.0,3297300,,,
2024-01-05,48.607112884521484,53.75,54.0,52.75,53.0,4105900,,,
2024-01-08,47.47671890258789,52.5,53.75,52.5,53.75,6473200,,,
2024-01-09,47.47671890258789,52.5,53.25,52.0,52.5,4377500,,,
2024-01-10,48.15495681762695,53.25,53.5,52.25,52.25,4478100,,,
2024-01-11,47.92887496948242,53.0,53.5,52.5,53.5,2488500,,,
2024-01-12,46.7984733581543,51.75,53.25,50.75,53.0,16402400,,,
2024-01-15,46.57239532470703,51.5,51.75,51.0,51.75,8509200,,,
2024-01-16,47.024559020996094,52.0,52.25,51.25,51.5,5860400,,,
2024-01-17,47.024559020996094,52.0,52.5,51.5,52.0,8349400,,,
2024-01-18,47.92887496948242,53.0,53.0,52.0,52.25,7924100,,,
2024-01-19,47.92887496948242,53.0,53.75,52.5,53.25,9352200,,,
2024-01-22,47.47671890258789,52.5,53.0,52.0,52.25,4912100,,,46.15384615384615
2024-01-23,47.47671890258789,52.5,53.0,52.25,53.0,4802300,,,46.15384615384615
2024-01-24,48.15495681762695,53.25,53.75,52.0,52.25,8034400,,,50.0
2024-01-25,48.15495681762695,53.25,53.75,53.0,53.25,8229200,,,46.15384615384615
2024-01-26,48.15495681762695,53.25,54.0,53.0,53.75,3639200,,,57.14285714285714
2024-01-29,49.28535461425781,54.5,54.75,53.75,53.75,15032900,,,65.38461538461539
2024-01-30,49.737510681152344,55.0,55.25,54.0,54.5,13913500,52.9375,,64.0
2024-01-31,49.51143264770508,54.75,55.25,54.25,55.25,14861200,53.025,,64.0
2024-02-01,49.05927276611328,54.25,55.0,53.75,54.0,8245800,53.075,,72.72727272727272
2024-02-02,49.28535461425781,54.5,55.25,54.5,55.0,5851300,53.1125,,77.27272727272727
2024-02-05,49.51143264770508,54.75,55.0,54.5,54.75,5015500,53.225,,76.19047619047619
2024-02-06,49.963592529296875,55.25,55.5,54.75,55.0,4778300,53.3625,,78.26086956521739
2024-02-07,50.18967056274414,55.5,56.25,55.25,55.5,6390300,53.475,,75.0
2024-02-08,50.41575622558594,55.75,56.25,55.25,55.75,8810500,53.6125,,76.19047619047619
2024-02-09,51.093990325927734,56.5,56.75,55.75,56.0,6502400,53.85,,86.36363636363636
2024-02-12,50.18967056274414,55.5,57.0,55.5,56.25,5566800,54.05,,73.07692307692308
2024-02-13,50.41575622558594,55.75,56.0,55.25,55.75,2949900,54.2375,,70.83333333333333
2024-02-14,51.093990325927734,56.5,56.75,55.25,55.5,4222900,54.4625,,74.07407407407408
2024-02-15,51.99831008911133,57.5,58.0,56.5,56.75,16336000,54.6875,,77.41935483870968
2024-02-16,52.90262985229492,58.5,59.0,57.75,57.75,16625800,54.9625,,76.66666666666666
2024-02-19,53.12870407104492,58.75,59.0,58.25,58.75,10186200,55.275,,75.86206896551724
2024-02-20,53.12870407104492,58.75,59.0,58.25,58.75,9579300,55.5875,,78.57142857142857
2024-02-21,52.90262985229492,58.5,59.0,58.0,58.75,20269700,55.85,,81.48148148148148
2024-02-22,52.450469970703125,58.0,58.75,58.0,58.5,12302400,56.0875,,75.0
2024-02-23,52.450469970703125,58.0,58.75,57.75,58.5,12056000,56.325,,74.07407407407408
2024-02-27,52.213134765625,55.0,55.5,54.5,54.5,14240400,56.35,,48.64864864864865
2024-02-28,54.111793518066406,57.0,58.0,55.5,55.5,31477900,56.45,,56.81818181818182
2024-02-29,53.1624641418457,56.0,57.25,56.0,57.25,13808131,56.5125,,51.06382978723405
2024-03-01,52.925132751464844,55.75,56.5,55.75,56.25,4143000,56.5875,,46.666666666666664
2024-03-04,54.349124908447266,57.25,57.5,55.75,55.75,10693800,56.725,,57.4468085106383
2024-03-05,54.349124908447266,57.25,57.75,56.75,57.25,4672300,56.85,,56.52173913043478
2024-03-06,56.01045227050781,59.0,59.0,57.25,57.75,13154500,57.0375,,60.0
2024-03-07,53.87446212768555,56.75,59.0,56.5,59.0,17055900,57.1,,47.27272727272727
2024-03-08,54.58646011352539,57.5,57.75,57.0,57.0,5580400,57.1875,,46.2962962962963
2024-03-11,53.63712692260742,56.5,57.75,56.5,57.5,6917000,57.1875,,42.10526315789473
2024-03-12,53.63712692260742,56.5,56.5,56.5,56.5,0,57.2375,,42.10526315789473
2024-03-13,54.82379150390625,57.75,58.5,56.25,56.25,11824800,57.3375,55.16,47.540983606557376
2024-03-14,56.01045227050781,59.0,59.25,58.25,58.5,10961800,57.4625,55.28,53.125
2024-03-15,56.01045227050781,59.0,59.0,59.0,59.0,0,57.5375,55.395,53.125
2024-03-18,56.01045227050781,59.0,59.5,58.5,59.0,4107700,57.5625,55.5,65.38461538461539
2024-03-19,56.4851188659668,59.5,60.75,59.5,60.0,14668200,57.6,55.64,60.869565217391305
2024-03-20,56.4851188659668,59.5,59.5,59.5,59.5,0,57.6375,55.78,66.66666666666666
2024-03-21,56.4851188659668,59.5,60.0,58.5,60.0,11363900,57.6875,55.905,68.29268292682927
2024-03-22,56.4851188659668,59.5,59.5,59.5,59.5,0,57.7625,56.035,62.85714285714286
2024-03-25,55.77312088012695,58.75,59.75,58.5,59.25,5637900,57.8,56.175,57.89473684210526
2024-03-26,55.77312088012695,58.75,58.75,58.75,58.75,0,57.9875,56.32,48.38709677419355
2024-03-27,55.77312088012695,58.75,59.5,58.75,59.0,5045900,58.075,56.455,68.18181818181819
2024-03-28,55.77312088012695,58.75,58.75,58.75,58.75,0,58.2125,56.59,63.15789473684211
2024-03-29,56.4851188659668,59.5,60.0,58.75,59.0,4722200,58.4,56.72,83.33333333333333
2024-04-01,55.06112289428711,58.0,59.5,58.0,59.25,6270700,58.4375,56.82,62.5
2024-04-02,56.01045227050781,59.0,59.5,58.5,58.5,9515300,58.525,56.95,60.869565217391305
2024-04-03,56.24778366088867,59.25,59.5,58.75,58.75,6438500,58.5375,57.085,52.631578947368425
2024-04-04,56.24778366088867,59.25,59.25,59.25,59.25,0,58.6625,57.205,52.631578947368425
2024-04-05,55.535789489746094,58.5,59.0,58.5,59.0,4453300,58.7125,57.31,45.45454545454546
2024-04-09,55.535789489746094,58.5,58.5,58.5,58.5,0,58.8125,57.415,39.99999999999999
2024-04-10,55.06112289428711,58.0,58.75,57.5,58.75,12051500,58.8875,57.485,36.36363636363636
2024-04-11,56.01045227050781,59.0,59.0,57.5,58.0,8360800,58.95,57.565,46.15384615384615
2024-04-17,56.01045227050781,59.0,59.0,59.0,59.0,0,58.95,57.65,46.15384615384615
2024-04-18,56.01045227050781,59.0,59.0,59.0,59.0,0,58.95,57.745,52.17391304347826
2024-04-19,56.01045227050781,59.0,59.0,59.0,59.0,0,58.95,57.835,52.17391304347826
2024-04-22,54.349124908447266,57.25,58.25,57.0,58.25,10580100,58.8375,57.885,39.99999999999999
2024-04-23,54.58646011352539,57.5,58.0,57.25,57.25,7995300,58.7375,57.93,41.935483870967744
2024-04-24,54.58646011352539,57.5,57.5,57.5,57.5,0,58.6375,57.97,35.71428571428572
2024-04-25,54.111793518066406,57.0,58.5,56.25,58.25,26397500,58.5125,57.995,41.66666666666667
2024-04-26,53.39979553222656,56.25,57.25,56.25,57.0,9223200,58.3875,57.99,26.08695652173914
2024-04-29,53.39979553222656,56.25,57.0,55.75,56.5,12251400,58.2625,58.005,22.727272727272734
2024-04-30,53.39979553222656,56.25,56.25,56.25,56.25,0,58.1375,58.015,22.727272727272734
2024-05-02,50.55180740356445,53.25,55.0,53.0,54.75,20961600,57.8625,57.95,16.129032258064512
2024-05-03,51.2638053894043,54.0,54.25,53.25,53.25,11751700,57.5875,57.88,23.529411764705884
2024-05-07,51.2638053894043,54.0,54.0,54.0,54.0,0,57.3875,57.79,25.0
2024-05-08,50.07714080810547,52.75,53.75,52.25,53.75,21254400,57.075,57.67,12.121212121212125
2024-05-09,51.2638053894043,54.0,54.5,53.25,53.25,9651000,56.8125,57.575,23.68421052631578
2024-05-10,50.78913879394531,53.5,54.25,53.25,53.75,6593200,56.525,57.475,22.5
2024-05-13,50.07714080810547,52.75,53.5,52.5,53.25,8952700,56.2375,57.37,20.930232558139537
2024-05-14,50.07714080810547,52.75,53.0,52.5,52.75,4832300,55.95,57.265,25.000000000000014
2024-05-15,49.60247802734375,52.25,52.75,51.0,52.5,20108700,55.6625,57.21,21.621621621621614
2024-05-16,49.60247802734375,52.25,52.25,52.25,52.25,0,55.325,57.115,21.621621621621614
2024-05-17,49.60247802734375,52.25,52.25,51.0,51.5,15875900,54.9875,57.04,22.85714285714286
2024-05-20,49.60247802734375,52.25,52.25,52.25,52.25,0,54.65,56.97,25.0
2024-05-21,49.60247802734375,52.25,52.25,52.25,52.25,0,54.3125,56.87,25.0
2024-05-23,47.22915267944336,49.75,51.25,49.5,50.25,20013600,53.9375,56.72,19.04761904761905
2024-05-24,47.22915267944336,49.75,49.75,49.75,49.75,0,53.55,56.535,26.66666666666667
2024-05-27,47.22915267944336,49.75,49.75,49.75,49.75,0,53.1625,56.395,18.51851851851852
2024-05-28,49.83980941772461,52.5,52.75,51.75,52.0,19719700,52.9375,56.295,42.10526315789474
2024-05-29,49.83980941772461,52.5,53.5,52.25,53.0,11815600,52.75,56.215,48.484848484848484
2024-05-30,49.83980941772461,52.5,52.5,52.5,52.5,0,52.5625,56.135,39.285714285714285
2024-05-31,49.83980941772461,52.5,52.5,52.5,52.5,0,52.375,56.03,42.30769230769231
2024-06-04,48.41581344604492,51.0,52.0,50.5,50.75,9055800,52.2625,55.87,37.93103448275862
2024-06-05,48.41581344604492,51.0,51.0,51.0,51.0,0,52.1125,55.71,37.93103448275862
2024-06-06,48.17848205566406,50.75,51.5,50.5,50.75,17105000,51.95,55.545,39.285714285714285
2024-06-07,48.17848205566406,50.75,50.75,50.75,50.75,0,51.85,55.37,39.285714285714285
2024-06-10,47.703819274902344,50.25,51.5,49.5,51.5,10749900,51.6625,55.185,36.666666666666664
2024-06-11,47.703819274902344,50.25,50.25,50.25,50.25,0,51.5,55.0,36.666666666666664
2024-06-12,47.9411506652832,50.5,50.75,49.75,50.0,10058400,51.3875,54.82,38.70967741935484
2024-06-13,48.65314865112305,51.25,51.5,50.5,50.75,11478800,51.3125,54.67,62.5
